procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3   6436 31325376   3504  89208    0    0    40    19    1    1  0  0 99  0  0
 0  1   6436 31258228   3808 104960    0    0  7972     0 1546 1310  5  0 86  8  0
 1  0   6436 31165636   3856 123680    0    0  9640     0 1740 1578  9  0 88  3  0
 0  0   6436 31119868   3872 129740    0    0  3000   116 1350 1794  3  0 95  1  0
 1  1   6436 31119620   3872 129500    0    0     8  1112  849  882  0  0 96  4  0
14  0   6436 31022212   3900 132812    0    0  1724   128 1873 3064 14  0 79  7  0
 3 12   6436 30216028   4172 208140    0    0 17598     0 9242 11650 35  3 55  8  0
 7  3   6436 26998528   4520 443064    0    0 56466    18 13341 15134 27  8 46 20  0
 7  1   6436 25229012   4880 764360    0    0 66372     0 19006 18762 37  8 45 10  0
 5  1   6436 24311720   5252 1118068    0    0 68396     0 17518 19648 37  6 50  7  0
 8  3   6436 23916780   5532 1414056    0    0 57284 36362 17151 18664 29  5 52 14  0
 6  2   6436 23578532   5856 1751416    0    0 57340    14 18573 21324 32  5 49 14  0
 2  1   6436 23268352   6108 1997012    0    0 48574 15496 16611 15377 30  4 51 15  0
 4  1   6436 23069888   6312 2194700    0    0 34338 49306 14831 13023 15  3 71 11  0
 3  1   6436 22728956   6524 2409444    0    0 30750 23070 15752 15542 17  4 67 13  0
 3  3   6436 22520124   6708 2618156    0    0 29620 39394 15915 15253 14  3 72 10  0
 4  3   6436 22298544   6940 2840412    0    0 23422 28682 15365 16879 13  3 72 12  0
 5  3   6436 21882780   7188 3093292    0    0 31016 43104 15904 18095 16  4 68 12  0
 5  2   6436 20396128   7416 3317928    0    0 32550 34470 15529 15630 16  5 67 12  0
 2  3   6436 20188552   7596 3528000    0    0 23726 31972 15843 17381 12  3 72 12  0
 1  1   6436 20019928   7784 3696264    0    0 23296 23214 14423 13375 11  3 73 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1   6436 19839136   7992 3875744    0    0 24222 58146 17628 16764 10  3 71 16  0
 2  4   6436 19597024   8172 4060032    0    0 28852 35816 15846 15676 14  3 73 11  0
 3  2   6436 19370120   8344 4237544    0    0 25856 36700 16417 16100 15  3 69 14  0
 1  2   6436 19230924   8464 4376020    0    0 23828 35832 13622 11968 12  2 72 14  0
 3  3   6436 19068328   8660 4538224    0    0 27068 29762 14473 13237 13  2 69 16  0
 4  6   6436 18761644   8948 4814496    0    0 54618  5930 16126 18506 25  4 54 17  0
 3  3   6436 18444808   9264 5130880    0    0 60818  6122 15965 19366 26  4 50 20  0
 3  2   6436 18101908   9592 5466216    0    0 61632  6532 16728 20958 28  5 53 14  0
