procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 30188412   2400  98336    0    0    63    27    3    3  0  0 99  0  0
 0  0      0 30134572   2644 111128    0    0  6168     0 1053 1553  5  0 89  6  0
 0  0      0 30133216   2660 110972    0    0     2   126  374  723  0  0 99  0  0
 0  0      0 30133588   2660 110580    0    0     0     0  387  704  0  0 100  0  0
 1  0      0 30133644   2660 110308    0    0     0   620  516  707  0  0 100  0  0
 0  0      0 30133768   2660 110148    0    0     0     0  414  716  0  0 100  0  0
 0  0      0 30124832   2708 120128    0    0    14     0 5752 7806  1  1 99  0  0
 0  0      0 30105192   2760 139712    0    0    10     0 10913 14535  1  1 98  0  0
 1  0      0 30081344   2788 163416    0    0     0     0 12757 16800  1  1 98  0  0
 0  2      0 30029612   2868 195660    0    0  5154 33392 13109 16508  4  1 83 12  0
 1  0      0 29931668   2932 227500    0    0  4474     0 13803 18078  8  1 88  3  0
 0  0      0 29802708   2984 259312    0    0  3408    10 13624 18811  7  1 91  1  0
 0  0      0 29613476   3012 286096    0    0  1252     0 15034 18436 26  1 72  0  0
 5  8      0 29510488   3184 328984    0    0  9816     0 13723 18782  6  1 81 11  0
 2  0      0 27388544   3380 437132    0    0 39884     0 16007 21565 29  5 50 16  0
 3  0      0 26601892   3456 506816    0    0 12052     0 17304 17606  9  3 88  0  0
 0  0      0 25881908   3552 574656    0    0 11018    40 17672 17941  8  3 89  0  0
 1  1      0 25236364   3652 639892    0    0 11530 110006 18351 18716  9  3 81  8  0
 2  0      0 24673464   3720 708732    0    0 11270     0 18182 18162 10  3 82  5  0
 0  0      0 24250484   3804 780568    0    0 12048     0 17835 18352  8  3 89  0  0
 0  0      0 24142984   3872 847600    0    0 10380     0 18272 18681  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24031568   3968 918120    0    0 11276  4456 18131 18198  8  2 90  0  0
