procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3   6644 31157980   2992 103696    0    0    35    32    1    0  1  0 99  0  0
 1  0   6644 31092836   3244 119860    0    0  8098     8 1103 1796  4  0 88  8  0
 2  0   6644 31026920   3368 139104    0    0  9724     0 1172 1659  6  0 89  5  0
 0  0   6644 30921484   3372 152532    0    0  6756     0 2045 2990  8  0 90  2  0
 0  0   6644 30919632   3372 152720    0    0     0    10  561 1107  0  0 100  0  0
 3  0   6644 30685052   3408 156472    0    0  1864     0 3333 4341 34  1 64  1  0
13 11   6644 30130492   3620 198884    0    0 18864  1342 4432 7841 20  1 69 10  0
 3  9   6644 26050936   4112 496060    0    0 61256   128 19528 20956 47 13 32  9  0
 5 10   6644 24634956   4540 905368    0    0 74316     0 19230 25560 47 10 29 14  0
 7  9   6644 23834828   4960 1332680    0    0 68914    64 18897 27270 41  8 37 15  0
11  6   6644 23360380   5332 1723484    0    0 55966    14 17857 26157 34  6 43 17  0
 5  5   6644 22964084   5716 2117892    0    0 59354     0 18306 27300 32  6 40 21  0
 9  4   6644 22501744   6112 2547156    0    0 70216     0 18764 27144 44  6 36 14  0
 5  1   6644 21973372   6500 2937344    0    0 63314 27008 18447 26715 38  7 43 12  0
 4  2   6644 21619388   6864 3268944    0    0 57440 12176 16948 22541 29  4 52 14  0
 2  6   6644 19972148   7136 3565036    0    0 46154 28352 15911 21084 24  7 57 12  0
 2  4   6644 19626808   7472 3911168    0    0 58150  9722 16496 22850 27  5 59 10  0
 7  5   6644 19139984   7784 4238016    0    0 50872 26516 16489 22344 26  4 53 16  0
 1  1   6644 18861148   8064 4518684    0    0 47776 27624 15055 21155 23  4 58 15  0
 2  1   6644 18652192   8272 4724036    0    0 38954 31332 13196 16798 17  3 68 12  0
 2  1   6644 18419220   8480 4935228    0    0 41130 29466 13696 16829 19  3 67 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1   6644 18282076   8620 5072220    0    0 24732 40066 13671 14141 11  2 73 14  0
 0  2   6644 18161432   8744 5192864    0    0 18222 55398 13421 12817  9  2 78 11  0
 2  3   6644 18057312   8840 5296832    0    0 14348 62032 13242 11960  8  2 78 12  0
 3  2   6644 17914928   8976 5438452    0    0 21248 46834 12689 13001 10  2 73 15  0
 2  3   6644 17757796   9120 5570512    0    0 21912 48820 12719 13045 10  2 76 12  0
 4  2   6644 17619908   9280 5708960    0    0 16790 53936 11571 13055  9  2 81  8  0
 2  3   6644 17465652   9448 5869636    0    0 20662 39230 12663 14622 10  2 78 10  0
 0  3   6644 17286232   9636 6050680    0    0 18044 50250 13279 15241  9  3 76 13  0
 2  2   6644 17116252   9788 6219096    0    0 18324 65480 12955 14638  9  3 77 11  0
 3  2   6644 16981844   9912 6354132    0    0 16014 52752 12084 12471  9  2 77 12  0
 0  2   6644 16867532  10016 6452380    0    0 13970 54514 10596 9514  8  2 82  9  0
 1  2   6644 16770936  10112 6549156    0    0 19992 45782 10681 9588  9  1 79 11  0
 0  4   6644 16667480  10232 6652316    0    0 14506 50808 10057 9959  7  2 82  9  0
 2  3   6644 16492772  10412 6826556    0    0 18448 49898 13338 15355  9  3 79  9  0
 1  2   6644 16313972  10568 7004780    0    0 18554 40628 13864 15273 10  2 79  9  0
 3  2   6644 16191328  10760 7127304    0    0 19740 55340 13390 13588 10  5 73 12  0
 7  4   6644 16036948  10896 7271764    0    0 17168 55690 12933 13405 10  2 74 14  0
 3  3   6644 15920156  11012 7388240    0    0 18092 53820 12675 12048  9  2 75 14  0
 3  2   6644 15780532  11144 7527024    0    0 23548 46936 12997 12434 12  2 77  9  0
 1  3   6644 15631980  11292 7677680    0    0 22190 47296 13272 13556 11  2 78  9  0
 4  3   6644 15462596  11488 7844880    0    0 25128 48222 13231 14400 11  2 78  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3   6644 15327676  11616 7979080    0    0 15374 56258 11235 12337  8  2 83  8  0
 7  4   6644 15129308  11804 8173240    0    0 25502 42210 13008 14892 13  3 75  9  0
 3  3   6644 14929784  12020 8371644    0    0 40618 33576 12532 13947 17  3 69 12  0
 3  3   6644 14746148  12200 8554492    0    0 35088 40862 12006 13951 15  3 73 10  0
 3  3   6644 14508300  12428 8786340    0    0 46284 26650 13342 17018 21  3 64 12  0
 2  2   6644 14384532  12544 8910604    0    0 19830 53706 11426 12030 10  2 78 10  0
 1  2   6644 14269088  12680 9025852    0    0 20894 54070 11950 12264  9  2 72 16  0
 5  2   6644 14130348  12804 9163180    0    0 22808 54452 12310 12887 10  2 71 17  0
 2  2   6644 13976480  12956 9311744    0    0 30368 41400 11672 12560 14  2 68 16  0
 4  3   6644 13801996  13156 9486584    0    0 37452 27304 11111 13121 15  2 68 14  0
 2  3   6644 13612640  13420 9674084    0    0 40184 21604 12462 13839 24  3 51 22  0
 5  1   6644 13413124  13604 9861196    0    0 40110 37454 12421 14427 18  2 68 12  0
 3  4   6644 13295464  13744 9979368    0    0 25790 47334 10892 9923 10  2 77 11  0
 1  2   6644 13210252  13816 10063680    0    0 15476 65068 10177 10148  7  2 83  8  0
 3  2   6644 13111704  13912 10163600    0    0 18194 57968 10206 10121  8  2 80 10  0
 1  2   6644 13000600  14000 10274200    0    0 19982 54138 11232 10818  9  2 81  8  0
 3  2   6644 12849428  14168 10425448    0    0 21274 44860 12310 12317 10  2 78 10  0
 0  2   6644 12719608  14288 10544840    0    0 15268 65554 10451 10925  7  2 81 10  0
 0  1   6644 12587696  14412 10674852    0    0 14840 57478 11763 11818  8  2 81  8  0
 1  2   6644 12458116  14532 10804288    0    0 16654 50636 10842 11858  8  2 81  9  0
 1  5   6644 12321808  14704 10939680    0    0 18256 52370 12071 13109  8  2 79 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2   6644 12181648  14852 11080092    0    0 14820 56788 11922 13435  7  2 78 13  0
 0  2   6644 12025780  14996 11235036    0    0  9350 60448 12472 14310  7  2 78 13  0
 4  3   6644 11879444  15172 11381020    0    0 13102 57756 11655 13842  7  2 81 10  0
 2  3   6644 11712728  15336 11548836    0    0 16250 34362 11683 13885  8  3 82  8  0
 4  2   6644 11509724  15556 11741692    0    0 39724 31144 12511 15292 18  6 66 11  0
 3  2   6644 11335876  15732 11914560    0    0 27418  4514 11724 14688 12  2 71 15  0
 3  2   6644 11152636  15928 12097256    0    0 32804 20428 10509 12485 14  2 69 15  0
 0  2   6644 10937604  16124 12282536    0    0 32038 19588 11384 13336 14  2 67 16  0
 1  3   6644 10830228  16240 12390256    0    0 16690 41746 9049 9684  8  2 80 10  0
 4  3   6644 10696804  16376 12523432    0    0 19832 67244 9324 9708  9  2 75 13  0
 0  2   6644 10586336  16472 12633436    0    0 14350 61394 9090 9440  7  2 74 17  0
 1  2   6644 10503380  16548 12715136    0    0 13448 62996 7945 7835  7  1 79 13  0
 3  2   6644 10422920  16644 12795844    0    0 15896 58566 7783 7846  7  1 79 12  0
