procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 12771556 15848276  14476 118696    0    0    13    12    0    0  0  0 100  0  0
 0  2 12771556 15792132  14928 132476    0    0  6732   672 1667 1626  4  0 82 14  0
 1  1 12771556 15724776  15048 152524    0    0  9774   152 1773 1491  7  0 88  5  0
 0  0 12771556 15623624  15052 165424    0    0  6658    82 2175 2756  7  1 90  2  0
 0  2 12771556 15620476  15068 165600    0    0    50    16  795 1383  0  0 99  0  0
 1  0 12771556 15265740  15120 175768    0    0  4986     0 3534 4243 32  1 65  2  0
 8 11 12771556 12051736  15676 446960    0    0 55424     0 33880 45650 42  9 31 17  0
13  9 12771556 9365084  16152 852488    0    0 76108     0 40366 53061 43 10 24 24  0
 3  9 12771556 8538468  16612 1332976    0    0 77526     0 50558 62565 47  9 24 20  0
 8  8 12771556 7955736  17136 1838724    0    0 79524  3950 58807 77751 47  9 26 18  0
 8 10 12771556 7413616  17616 2344644    0    0 77184     0 58000 69179 54  9 18 19  0
 9  8 12771556 6792236  18064 2820076    0    0 75698    18 50500 65452 41  8 27 24  0
 7  7 12771556 6331064  18500 3282432    0    0 79898     0 48064 60362 41  7 26 26  0
 9  5 12771556 4625644  18944 3749336    0    0 73208  5822 52209 66726 42 11 28 18  0
 5  0 12771556 3946840  19404 4172144    0    0 63578     0 47855 66770 36  7 48  8  0
 6  3 12771556 3518232  19824 4547880    0    0 63578     0 46589 64092 32  6 52 10  0
 5  0 12771556 3148160  20224 4916304    0    0 56378  3254 44721 63535 28  6 61  5  0
 7  2 12771556 2724692  20636 5304804    0    0 55480  1722 48993 68211 30  6 57  6  0
 2  2 12771556 2402804  20976 5627176    0    0 43826  1480 48109 65674 21  5 63 11  0
 2  1 12771556 2098648  21256 5917568    0    0 36390  1380 46244 57209 21  5 65  9  0
 2  1 12771556 1800692  21556 6210468    0    0 39464  4026 43803 51698 20  4 65 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 12771556 1520320  21836 6490296    0    0 28194 47804 50819 63900 16  5 68 12  0
 3  1 12771556 1259456  22076 6735924    0    0 32550 39568 39317 47314 18  4 67 11  0
 1  3 12771556 1004776  22328 6989932    0    0 36674  9256 38837 47349 17  4 68 11  0
 0  3 12771556 804280  22532 7190872    0    0 25394 33498 32724 39717 14  4 73 10  0
 1  2 12771556 682760  22744 7312244    0    0 11588 56878 25746 30805  7  2 76 15  0
 3  3 12771556 524668  22996 7470944    0    0 22764 12690 28219 32079 11  2 68 18  0
 1  2 12771556 320680  23444 7671896    0    0 31924  1046 27868 34035 15  3 63 19  0
 3  2 12771556 102036  23736 7892228    0    0 36862 41584 28630 33902 17  3 62 18  0
 2  3 12771948  99944  11948 7902528    0  196 29716 32180 31950 38200 14  3 63 20  0
