 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 4901.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13982.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 13983.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 18430.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5421941.3 15379136.0    0.0     37184.0 36830.9      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537286.0 15379136.0    0.0     39680.0 39478.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537286.0 15379136.0    0.0     41024.0 40978.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5767232.0 15379136.0    0.0     46976.0 46505.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   118505.8 5767232.0 3154865.4 15379136.0    0.0     50816.0 50688.8      1    0.070   0      0.000    0.070
961152.0 961152.0 144277.1  0.0   5767232.0 2093878.4 15379136.0    0.0     51008.0 50836.4      2    0.112   0      0.000    0.112
961152.0 961152.0  0.0   140324.0 5767232.0 882162.0 15379136.0    0.0     51008.0 50911.9      3    0.145   0      0.000    0.145
961152.0 961152.0  0.0   140324.0 5767232.0 5474191.9 15379136.0    0.0     51008.0 50927.5      3    0.145   0      0.000    0.145
