procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 160500 31314208   3096  74256    0    0    47    20    1    2  0  0 99  0  0
 0  1 160500 31250144   3256  88064    0    0  6924     0 1408 1250  5  0 87  7  0
 2  0 160500 31147824   3292 106800    0    0  9466   142 2121 2176  9  0 87  3  0
 1  0 160500 31007856   3376 121000    0    0  6894     0 1918 1912  9  0 88  3  0
 0  0 160500 30953772   3440 125440    0    0  2202    18 1110 1179  7  0 92  1  0
 4 12 160500 29582532   3632 171980    0    0 23242     0 5544 5577 32  2 50 15  0
 5 10 160500 25522992   4060 471100    0    0 71016     0 18483 16512 47 12 30 11  0
 8 11 160500 24471416   4388 791076    0    0 68930     0 13165 16397 34  6 35 25  0
 5  9 160500 23924676   4688 1106476    0    0 72770     0 14358 14542 36  5 35 24  0
 7  6 160500 23547040   5008 1437048    0    0 74700     0 13608 16322 39  5 33 23  0
 9  9 160500 23170708   5320 1753012    0    0 68726 21174 14970 16745 41  5 28 27  0
 2  9 160500 22598696   5628 2073716    0    0 67290 10022 13337 17002 30  5 34 32  0
 3  9 160500 22242444   5944 2417332    0    0 70828     0 14074 17305 34  4 33 28  0
 4  7 160500 20919868   6252 2743568    0    0 70060     0 13857 16243 34  7 32 27  0
 1  2 160500 20683324   6460 2970404    0    0 46738 27596 12828 13068 23  3 56 18  0
 4  8 160500 20456992   6652 3120284    0    0 24922 51884 11243 10536 12  2 69 16  0
 2  1 160500 20217756   6920 3357736    0    0 51982 10500 12967 12696 23  3 55 18  0
 0  3 160500 20017744   7104 3557244    0    0 34850 37148 12093 13015 17  3 68 12  0
 3  1 160500 19813540   7308 3748512    0    0 34466 45406 12517 12919 16  3 69 12  0
 4  3 160500 19624912   7540 3938092    0    0 44216 19522 11460 11591 19  2 66 13  0
 4  5 160500 19442128   7728 4114260    0    0 39388 28934 12988 11609 19  3 66 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 160500 19248688   7900 4307244    0    0 41358 36498 12949 12287 19  2 62 17  0
 0  3 160500 19090324   8064 4464880    0    0 33444 42314 11327 10788 14  2 60 23  0
 2  4 160500 18966548   8208 4588316    0    0 20124 40958 11387 10139 10  2 69 18  0
 3  1 160500 18742720   8432 4789432    0    0 40600 49708 12448 13627 18  4 63 15  0
 6  2 160500 18509236   8656 5024976    0    0 43434 32734 13463 13529 20  3 68 10  0
 4  4 160500 18261964   8888 5265576    0    0 36412 25370 13434 15417 19  4 62 15  0
 3  3 160500 18043808   9128 5483136    0    0 37554 35498 13384 14475 17  3 63 17  0
 2  2 160500 17817036   9344 5710840    0    0 39822 32352 13275 13815 18  3 63 16  0
 4  2 160500 17609956   9536 5918504    0    0 33570 45056 12524 13555 16  3 65 16  0
 2  3 160500 17429188   9684 6076144    0    0 32030 40026 11438 11332 15  2 64 18  0
 2  4 160500 17276272   9848 6228116    0    0 29626 60184 11757 10624 15  2 67 17  0
 1  3 160500 17109756   9996 6396172    0    0 34340 28508 12173 11496 15  2 69 14  0
 2  4 160500 16908480  10200 6594712    0    0 44334 34076 13192 12564 21  3 58 19  0
 0  3 160500 16738344  10396 6764268    0    0 33836 38800 11744 11476 15  3 69 14  0
 1  5 160500 16599712  10556 6902356    0    0 27300 54582 11082 9853 12  2 74 13  0
 2  3 160500 16402172  10716 7066780    0    0 30214 42700 12186 12627 14  3 69 14  0
 3  5 160500 16200052  10904 7268996    0    0 37050 37146 14046 14734 16  3 66 15  0
 1  2 160500 16039712  11060 7428444    0    0 30088 57412 11550 10975 14  2 69 14  0
