 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 3156.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 12499.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 692197.4 15379136.0    0.0     21824.0 21659.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3922140.2 15379136.0    0.0     34112.0 33985.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5421941.2 15379136.0    0.0     37376.0 37328.9      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   134993.9 5767232.0 1007576.3 15379136.0    0.0     48512.0 48333.0      1    0.075   0      0.000    0.075
961152.0 961152.0  0.0   134993.9 5767232.0 4858655.5 15379136.0    0.0     50432.0 50342.4      1    0.075   0      0.000    0.075
961152.0 961152.0 130770.9  0.0   5767232.0 4289356.1 15379136.0    0.0     50624.0 50487.6      2    0.113   0      0.000    0.113
961152.0 961152.0  0.0   134460.0 5767232.0 3604450.9 15379136.0    0.0     50624.0 50523.0      3    0.156   0      0.000    0.156
961152.0 961152.0 137484.8  0.0   5767232.0 2984229.9 15379136.0    0.0     50624.0 50527.5      4    0.204   0      0.000    0.204
140800.0 961152.0  0.0   138244.8 5767232.0 2200466.7 15379136.0    0.0     50624.0 50529.2      5    0.255   0      0.000    0.255
140800.0 140096.0 135570.2  0.0   7408640.0 1459544.8 15379136.0    0.0     50624.0 50530.7      6    0.302   0      0.000    0.302
140800.0 140096.0 135570.2  0.0   7408640.0 6733715.3 15379136.0    0.0     50624.0 50616.4      6    0.302   0      0.000    0.302
162624.0 30592.0  0.0   30553.4 7408640.0 4351347.5 15379136.0  106656.1  51008.0 50872.5      7    0.363   0      0.000    0.363
162624.0 174400.0 35148.3  0.0   7340736.0 709312.1 15379136.0  106845.9  51008.0 50903.9      8    0.386   0      0.000    0.386
162624.0 174400.0 35148.3  0.0   7340736.0 4834473.1 15379136.0  106845.9  51008.0 50949.6      8    0.386   0      0.000    0.386
174208.0 174400.0  0.0   72824.7 7340736.0 876241.5 15379136.0  106893.9  51008.0 50950.2      9    0.419   0      0.000    0.419
174208.0 174400.0  0.0   72824.7 7340736.0 4497280.7 15379136.0  106893.9  51008.0 50957.1      9    0.419   0      0.000    0.419
174208.0 174400.0  0.0   72824.7 7340736.0 7011738.8 15379136.0  106893.9  51008.0 50970.8      9    0.419   0      0.000    0.419
174208.0 172544.0 75936.2  0.0   7342784.0 1987069.8 15379136.0  108951.4  51008.0 50974.0     10    0.452   0      0.000    0.452
174208.0 172544.0 75936.2  0.0   7342784.0 4503632.9 15379136.0  108951.4  51008.0 50975.2     10    0.452   0      0.000    0.452
174208.0 172544.0 75936.2  0.0   7342784.0 6308132.7 15379136.0  108951.4  51200.0 51014.5     10    0.452   0      0.000    0.452
172736.0 172544.0  0.0   61363.0 7342784.0 1170962.3 15379136.0  123821.0  51200.0 51014.9     11    0.484   0      0.000    0.484
172736.0 172544.0  0.0   61363.0 7342784.0 3519171.2 15379136.0  123821.0  51200.0 51015.2     11    0.484   0      0.000    0.484
172736.0 172544.0  0.0   61363.0 7342784.0 4868069.5 15379136.0  123821.0  51200.0 51015.8     11    0.484   0      0.000    0.484
172736.0 172544.0  0.0   61363.0 7342784.0 5679153.3 15379136.0  123821.0  51200.0 51016.3     11    0.484   0      0.000    0.484
172736.0 172544.0  0.0   61363.0 7342784.0 7324217.4 15379136.0  123821.0  51200.0 51018.3     11    0.484   0      0.000    0.484
172736.0 171840.0 61090.0  0.0   7344960.0 2132274.3 15379136.0  125470.2  51200.0 51020.3     12    0.508   0      0.000    0.508
172736.0 171840.0 61090.0  0.0   7344960.0 4257496.2 15379136.0  125470.2  51200.0 51021.2     12    0.508   0      0.000    0.508
172736.0 171840.0 61090.0  0.0   7344960.0 5933779.4 15379136.0  125470.2  51200.0 51023.7     12    0.508   0      0.000    0.508
172736.0 171840.0 61090.0  0.0   7344960.0 6847624.4 15379136.0  125470.2  51200.0 51023.7     12    0.508   0      0.000    0.508
169088.0 171840.0  0.0   66202.5 7344960.0 535584.8 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 1240845.0 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 2174573.7 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 3126943.7 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 3794840.3 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 4668199.6 15379136.0  126158.3  51200.0 51023.7     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 5470775.9 15379136.0  126158.3  51200.0 51023.9     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 6131004.2 15379136.0  126158.3  51200.0 51024.0     13    0.537   0      0.000    0.537
169088.0 171840.0  0.0   66202.5 7344960.0 7189588.3 15379136.0  126158.3  51200.0 51024.6     13    0.537   0      0.000    0.537
169088.0 165824.0 66224.7  0.0   7354624.0 843919.7 15379136.0  128581.6  51200.0 51024.9     14    0.566   0      0.000    0.566
169088.0 165824.0 66224.7  0.0   7354624.0 1696803.0 15379136.0  128581.6  51200.0 51028.9     14    0.566   0      0.000    0.566
169088.0 165824.0 66224.7  0.0   7354624.0 2804238.9 15379136.0  128581.6  51200.0 51029.4     14    0.566   0      0.000    0.566
169088.0 165824.0 66224.7  0.0   7354624.0 3611262.1 15379136.0  128581.6  51200.0 51036.3     14    0.566   0      0.000    0.566
169088.0 165824.0 66224.7  0.0   7354624.0 5198646.7 15379136.0  128581.6  51200.0 51039.7     14    0.566   0      0.000    0.566
162304.0 165824.0  0.0   65834.8 7354624.0 598205.8 15379136.0  131118.3  51200.0 51040.7     15    0.594   0      0.000    0.594
