 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2638.9      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13098.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 1384298.3 15379136.0    0.0     23360.0 22808.9      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3922140.2 15379136.0    0.0     33920.0 33896.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5306596.5 15379136.0    0.0     34496.0 34106.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537286.0 15379136.0    0.0     44288.0 44040.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   104979.9 5767232.0 3841980.3 15379136.0    0.0     50240.0 50081.7      1    0.066   0      0.000    0.066
961152.0 961152.0 79918.2  0.0   5767232.0 3516976.4 15379136.0    0.0     50432.0 50245.2      2    0.096   0      0.000    0.096
961152.0 961152.0  0.0   106517.7 5767232.0 2993848.6 15379136.0    0.0     50432.0 50353.4      3    0.137   0      0.000    0.137
961152.0 961152.0 110564.7  0.0   5767232.0 2262304.2 15379136.0    0.0     50432.0 50370.8      4    0.182   0      0.000    0.182
124864.0 961152.0  0.0   108018.4 5767232.0 1887391.9 15379136.0    0.0     50432.0 50373.0      5    0.223   0      0.000    0.223
124864.0 961152.0  0.0   108018.4 5767232.0 5748832.9 15379136.0    0.0     50432.0 50374.6      5    0.223   0      0.000    0.223
124864.0 122880.0 105004.1  0.0   7441792.0 3117152.9 15379136.0    0.0     50432.0 50376.1      6    0.253   0      0.000    0.253
124864.0 122880.0 105004.1  0.0   7441792.0 6815816.6 15379136.0    0.0     50432.0 50425.0      6    0.253   0      0.000    0.253
135552.0 32256.0  0.0   32216.8 7441792.0 2088178.3 15379136.0  73642.4   50624.0 50451.1      7    0.300   0      0.000    0.300
135552.0 32256.0  0.0   32216.8 7441792.0 5446194.5 15379136.0  73642.4   51008.0 50865.9      7    0.300   0      0.000    0.300
135552.0 131264.0 88407.6  0.0   7422720.0 1385559.8 15379136.0  73770.4   51008.0 50866.1      8    0.330   0      0.000    0.330
135552.0 131264.0 88407.6  0.0   7422720.0 5148853.5 15379136.0  73770.4   51008.0 50866.3      8    0.330   0      0.000    0.330
