procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4 103880 31588468  13256  93316    0    0    37    18    1    1  0  0 99  0  0
 0  4 103880 31565520  13632 100296    0    0  2806   388 1164 1256  2  1 78 20  0
 0  3 103880 31540144  13640 105280    0    0  2466   520 1088 1169  2  0 80 18  0
 0  4 103880 31524116  13944 110664    0    0  3066   178 1685 1134  6  1 71 22  0
 2  1 103880 31504100  14380 113672    0    0  1626   314 1332 1234  2  1 79 18  0
 0  2 103880 31484948  15060 117072    0    0  1378   418 1417 1357  2  1 83 15  0
 1  2 103880 31452512  15708 142824    0    0  2458     0 4081 3830  1  2 90  7  0
 1  1 103880 31380412  16536 193004    0    0  1872     0 9319 8584  4  4 81 11  0
 1  3 103880 31304904  17060 223232    0    0  1606 34220 5423 5137  2  2 81 15  0
 0  3 103880 31206464  17744 259208    0    0  1350     2 7309 7054  3  3 82 11  0
 1  3 103880 31151972  18468 299708    0    0  1766     0 7904 7278  2  3 79 17  0
 0  3 103880 31068764  19112 331648    0    0  1174     0 5963 6006  2  2 73 23  0
 3  1 103880 30967104  19696 364560    0    0  1330   574 6652 6541  4  3 73 20  0
 2  3 103880 30852744  20240 416528    0    0  1620 34974 10543 8219 15  4 67 15  0
 1  3 103880 30656324  20904 499936    0    0  1524 14262 14595 12499 12  5 73  9  0
 0  5 103880 30553396  21540 574400    0    0  2036 13578 11912 10591  4  4 78 14  0
13 11 103880 29960608  21884 676504    0    0 13114  5980 15815 13991 21  7 39 33  0
 6  2 103880 28110832  22260 813928    0    0 31960     0 17109 12748 17  7 41 35  0
 5 12 103880 25400832  22672 1056352    0    0 45548     2 32796 20544 32 16 22 31  0
 5 11 103880 24840816  22964 1299936    0    0 47390     0 30014 19046 26 10 28 36  0
 4 11 103880 24147608  23296 1557688    0    0 47860     0 32553 22353 28 12 26 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7 11 103880 23823412  23608 1788728    0    0 45098     0 30118 19506 25 10 29 37  0
 4 12 103880 23515884  23924 2058168    0    0 50940     0 32662 21364 28 11 28 33  0
 6  9 103880 23247428  24176 2284296    0    0 50758     0 28299 16217 26  9 35 30  0
 4  9 103880 22969204  24496 2561744    0    0 51442     0 34183 22184 29 12 26 33  0
 4 13 103880 22614776  24888 2767172    0    0 38726     0 26131 17526 23 11 32 34  0
14 13 103880 22358532  25188 3023148    0    0 46890  4430 30280 22444 24 11 28 38  0
 2  8 103880 20651592  25488 3273508    0    0 44044     0 32416 23263 25 13 26 35  0
 8 12 103880 20412380  25760 3511516    0    0 44466     0 27727 19901 22 10 29 39  0
 5 12 103880 20130984  26084 3792560    0    0 44230     0 33583 25588 22 12 30 36  0
 2 11 103880 19787912  26420 4057964    0    0 43552     0 32771 25737 22 12 31 35  0
 6  9 103880 19488020  26752 4358752    0    0 44496     0 36413 29305 23 13 29 35  0
 5 10 103880 19222916  27060 4597432    0    0 42252     0 29965 20749 22 10 34 34  0
 5  6 103880 19001544  27376 4816476    0    0 45474     0 27957 17808 21  9 33 36  0
 3  8 103880 18786108  27648 5033240    0    0 43594    84 28526 18714 20  9 33 38  0
 4 12 103880 18562828  27964 5240216    0    0 39656     0 26869 17251 20  9 38 32  0
 4 10 103880 18325752  28276 5477216    0    0 40688     0 27404 19650 19 10 39 32  0
 1  9 103880 18086160  28564 5717460    0    0 43572     0 26925 18542 20  9 37 33  0
 5  5 103880 17868704  28964 5923320    0    0 35462     0 27923 18743 19  9 44 27  0
 2  9 103880 17645984  29284 6145812    0    0 44030     0 31478 20731 21 10 40 29  0
 4  9 103880 17423608  29624 6367472    0    0 44616  6104 28451 19934 22  9 39 29  0
10 11 103880 17168612  29884 6615468    0    0 47694     0 31453 22322 23 10 31 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8 103880 16887852  30164 6894092    0    0 55616     0 33687 24972 27 12 31 30  0
 5 12 103880 16067520  31688 7685516    0    0 146660 18034 101324 73998 17  8 31 44  0
 5 11 103880 15770544  32008 7982268    0    0 50632     0 36971 26310 24 12 25 39  0
 8 12 103880 15477160  32348 8262180    0    0 49110     0 34772 25206 24 12 23 41  0
