procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  9  31812 12601732  16572 11093000    0    0 21526 26868 12151 15557 11  3 59 27  0
 4 12  31812 12508212  16696 11184316    0    0 15732 33798 10874 13704  9  2 57 32  0
 1  7  31812 12386292  16828 11301032    0    0 17618 19008 12386 15976  9  3 61 27  0
 0 22  31812 12299100  16968 11425760    0    0 17210 22418 12387 15678 10 10 51 30  0
 3 11  31812 12105676  17176 11603196    0    0 21662 50862 12497 18823 10  3 43 44  0
 4 13  31812 11883840  17428 11824788    0    0 24096 23290 16057 22987 13  5 52 30  0
 5 14  31812 11640248  17652 12061620    0    0 25816 27254 14733 22911 14  5 40 41  0
 4 12  31812 11471388  17820 12228508    0    0 20634 37848 11946 16121 11  4 49 37  0
 2 11  31812 11310776  17972 12384384    0    0 20140 24820 10957 14735 11  3 48 38  0
 2 14  31812 11130284  18152 12548244    0    0 23324 32798 12413 16869 13  4 47 37  0
 3 14  31812 10970576  18312 12700664    0    0 27014 24904 11089 15303 12  3 47 37  0
 6 12  31812 10823544  18488 12843624    0    0 22836 25798 11006 15708 11  3 56 30  0
 2 13  31812 10646932  18660 13013436    0    0 25498 20216 11981 15674 13  3 48 36  0
 1 15  31812 10453608  18852 13197520    0    0 29730 25628 12036 17424 14  4 37 46  0
 1 14  31812 10226324  19080 13409468    0    0 32936 18632 13488 19615 16  4 44 37  0
 2 13  31812 10025088  19252 13603400    0    0 33668 26900 12565 17903 16  4 42 38  0
 2 13  31812 9829176  19456 13795420    0    0 34464 18432 12418 17630 16  4 45 35  0
 1 10  31812 9643568  19632 13965832    0    0 32636 31336 11609 16313 15  3 48 33  0
 2 14  31812 9428024  19852 14173872    0    0 32036 25614 13820 19503 16  4 39 41  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 12  31812 9198932  20040 14395320    0    0 34440 19222 13435 19687 16  4 41 39  0
 5 12  31812 8989400  20252 14595692    0    0 34710 39434 12466 16953 17  4 44 35  0
 3 11  31812 8784960  20440 14783212    0    0 29640 50334 12026 16205 15  4 49 32  0
 3 13  31812 8635088  20608 14928292    0    0 21510 35662 10846 14184 12  3 53 32  0
 1 14  31812 8514580  20720 15047052    0    0 16558 38384 8793 12644 10  3 50 37  0
 2 15  31812 8410228  20852 15146980    0    0 17246 37948 7210 10339  9  2 48 40  0
 7 15  31812 8283128  20996 15269420    0    0 20936 23210 9258 12125 10  2 50 38  0
 3 11  31812 8119632  21164 15423620    0    0 22800 29878 10332 14336 13  3 50 34  0
 3 12  31812 7959104  21344 15577468    0    0 25566 24510 9190 12943 12  3 53 32  0
 4 14  31812 7796296  21516 15735372    0    0 25462 24388 9645 12623 12  3 48 37  0
 5 13  31812 7655776  21644 15870368    0    0 21036 25108 8882 12466 11  3 45 42  0
 4 12  31812 7466792  21824 16052840    0    0 31788 25852 11029 15701 14  3 43 40  0
 5 15  31812 7232228  22052 16260896    0    0 35094 18972 12323 18613 16  4 41 38  0
 3 13  31812 7028644  22276 16456972    0    0 34926 24038 11329 16868 15  4 43 38  0
 2 14  31812 6753684  22548 16721632    0    0 35276 18450 15392 26022 17  5 40 39  0
 3 14  31812 6507144  22756 16948448    0    0 34912 17660 13812 21390 16  4 40 40  0
 2 13  31812 6285516  22976 17162808    0    0 33060 32242 14155 21201 15  4 45 35  0
 3 16  31812 6042508  23212 17395888    0    0 33860 12272 14810 22523 16  4 36 44  0
