procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4 183708 13277656  10316 9866228    0    0 22278 50968 15069 11599 10  2 76 12  0	
 6 11 183708 13168196  10332 9975356    0    0 17026 36882 15908 13359  9  2 68 21  0	
 2  2 183708 13049040  10336 10089264    0    0 21698 61110 14707 12324  9  2 79 10  0	
 3  3 183708 12869572  10348 10265240    0    0 27136 18994 14731 15871 12  2 76  9  0	
 3  4 183708 12639316  10348 10488124    0    0 34240     0 17517 18611 16  3 71 10  0	
 0  5 183708 12430060  10356 10693452    0    0 30470 45056 16430 17919 13  3 72 12  0	
 2  3 183708 12352860  10380 10769456    0    0 16706 28820 8307 7474  7  1 82 10  0	
 2  4 183708 12135380  10380 10978004    0    0 27456 62804 17943 17804 13  3 75 10  0	
 2  3 183708 11984116  10388 11126804    0    0 29184 25426 18152 13492 14  2 71 12  0	
 2  1 183708 11867636  10392 11239216    0    0 21376 16398 15474 13241 11  2 73 14  0	
 0  2 183708 11723928  10404 11376072    0    0 27524 51740 17339 12390 12  2 75 11  0	
 4  4 183708 11593008  10416 11505608    0    0 25666 33946 16890 13170 11  2 70 17  0	
 7  5 183708 11434148  10416 11661444    0    0 30018 25160 18333 17920 13  2 64 21  0	
 1  2 183708 11240948  10424 11852072    0    0 31106  8942 19145 17423 14  3 62 21  0	
 1  3 183708 11087972  10436 11981832    0    0 16898 25440 15495 17169  9  3 75 13  0	
 2  4 183708 10994724  10448 12073248    0    0 12226 66436 10578 8852  6  2 81 11  0	
 2  1 183708 10866004  10460 12194996    0    0 19010 75288 14347 12312  9  2 80 10  0	
 2  1 183708 10765472  10464 12297132    0    0 20164 49934 14229 11516  8  2 80 10  0	
 2  2 183708 10688568  10488 12369272    0    0 11586 73190 10710 8908  5  2 82 11  0	
 1  2 183708 10593972  10492 12463344    0    0 15426 51728 13334 12204  7  2 80 11  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 183708 10468708  10496 12586820    0    0 24000 23926 13140 12490 10  2 80  8  0	
 2  1 183708 10314068  10504 12738160    0    0 30530   610 14084 14368 13  2 77  8  0	
 5  1 183708 10158340  10656 12886848    0    0 30668 43568 14005 13828 12  2 76 10  0	
 3  2 183708 10051956  10676 12990448    0    0 14532 65324 11309 11216  7  2 81 10  0	
 5  1 183708 9931272  10684 13107364    0    0 12612 63644 13137 13917  6  2 82 10  0	
 1  1 183708 9804916  10688 13231976    0    0  9090 80776 12478 13000  5  2 84  9  0	
 3  0 183708 9700128  10708 13334692    0    0 10690 68392 11514 11463  6  2 83 10  0	
 1  1 183708 9586816  10712 13443512    0    0 10178 81092 12343 12296  6  2 84  9  0	
 0  2 183708 9437608  10728 13563120    0    0  9924 70236 13787 13614  7  3 80 11  0	
 0  1 183708 9326148  10744 13670968    0    0 10948 84744 13689 13863  6  2 83  9  0	
 3  1 183708 9204348  10748 13789656    0    0 18562 50954 14063 13307  9  2 79 10  0	
 1  1 183708 9139264  10760 13854144    0    0  8768 52600 8979 8492  5  1 84 11  0	
 3  2 183708 9070568  10772 13919888    0    0 10052 90632 8707 7385  5  2 84 10  0	
 0  0 183708 9006236  10780 13986232    0    0  8512 39728 10078 8454  5  1 88  6  0	
 4  0 183708 8906756  10792 14082016    0    0 10496    56 12065 11910  6  2 92  0  0	
 0  2 183708 8828768  10796 14160668    0    0 11266  4610 10486 9949  5  1 92  1  0	
 1  1 183708 8760552  10808 14222740    0    0  8194 115208 10561 9794  4  1 86  9  0	
 0  2 183708 8669040  10820 14312736    0    0  8386 70998 12054 12681  5  2 84 10  0	
 3  1 183708 8503796  11084 14469096    0    0 22848 40978 16233 18177 11  2 75 12  0	
 2  0 183708 8370984  11084 14598108    0    0 19840 28250 12472 14429  9  2 81  9  0	
 1  2 183708 8202932  11096 14761268    0    0 11458 47052 16682 20390  6  3 81 10  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  4 183708 7946128  11104 15010976    0    0 29696 16396 21808 26486 14  3 70 13  0	
 0  1 183708 7696128  11108 15260352    0    0 25220 10414 19481 25900 12  3 75 10  0	
 1  1 183708 7481624  11124 15463124    0    0 15490 83226 20386 24923  9  3 78 10  0	
 4  1 183708 7275800  11132 15665760    0    0  9284 75588 18472 24803  7  3 82  8  0	
 2  1 183708 7113732  11156 15824476    0    0  9348 87308 13873 16959  5  2 71 21  0	
 0  2 183708 7001376  11168 15913292    0    0  9154 80950 9047 9262  5  2 83 10  0	
 1  2 183708 6965424  11172 15948244    0    0  6850 76544 4827 4440  3  1 86 11  0	
 1  1 183708 6907392  11192 16004920    0    0  7556 80096 6080 6409  4  1 83 12  0	
 1  2 183708 6853692  11196 16057556    0    0  7874 81200 7418 7116  4  1 84 11  0	
 0  1 183708 6791816  11200 16118164    0    0  6018 92046 7055 7376  3  1 87  9  0	
 2  1 183708 6675488  11224 16230916    0    0  8772 79078 10623 12103  5  2 86  8  0	
 2  1 183708 6572948  11228 16330620    0    0  8322 81440 9505 10108  4  2 84 10  0	
 0  1 183708 6509040  11240 16393300    0    0  6530 77890 7391 7380  3  1 85 10  0	
 2  0 183708 6326124  11256 16574136    0    0  7170 37184 14878 20257  6  3 86  6  0	
 1  0 183708 6140752  11256 16755212    0    0  7936     0 12576 15990  6  3 91  0  0	
 2  0 183708 5940740  11272 16951044    0    0  8000    94 14471 19370  7  3 90  0  0	
 0  1 183708 5774968  11280 17109872    0    0 10820 100212 14923 17625  6  2 83  8  0	
 1  1 183708 5695036  11296 17186552    0    0  7300 86460 9091 9540  4  2 85 10  0	
 1  1 183708 5612576  11308 17267808    0    0  8324 78318 8477 8347  4  2 83 12  0	
 0  1 183708 5515608  11312 17362004    0    0  9154 91296 10350 10182  5  2 84  9  0	
 4  2 183708 5456296  11332 17416516    0    0  8196 70700 7496 6662  4  1 85  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 183708 5362164  11340 17508876    0    0  7746 75922 9940 9893  4  2 84 10  0	
 0  2 183708 5262980  11352 17605544    0    0  7298 86064 10150 10865  4  2 84 10  0	
 1  2 183708 5173584  11364 17693688    0    0  4932 92382 9573 10879  3  2 81 14  0	
 1  1 183708 5087552  11376 17777636    0    0  6980 95252 9468 9809  4  2 83 11  0	
 1  1 183708 4953260  11384 17910860    0    0 24578 32780 11434 11346 10  2 76 12  0	
