procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3   5064 47421436  17532  83944    0    0    44    21    1    2  0  0 99  0  0
 1  2   5064 47351208  19372 101344    0    0  9254     8 1407 1902  4  1 81 15  0
 1  2   5064 47282488  20984 121020    0    0 10348     0 1408 1561  7  0 79 13  0
 0  1   5064 47182192  22464 134204    0    0  7400     0 2310 2761  8  1 83  8  0
 0  1   5064 47179612  23904 134412    0    0   720     0  907 1246  0  0 92  8  0
 3  1   5064 46973052  25412 138644    0    0  2562  1040 3816 4102 27  1 63  8  0
 6 13   5064 45630528  26448 228092    0    0 29926    12 8977 10422 31  4 45 20  0
 5 12   5064 41414264  26904 547852    0    0 78398     0 14682 16254 42 11 22 25  0
 7 11   5064 40704952  27236 851724    0    0 81032     0 14419 13905 40  4 34 22  0
 7  6   5064 40220380  27644 1198848    0    0 79396     0 15690 17585 39  5 31 25  0
 5  9   5064 39809576  28064 1583888    0    0 82468     0 16740 20294 46  6 29 19  0
 3 10   5064 39438336  28612 1915668    0    0 68106     0 14525 17581 34  5 33 29  0
10  9   5064 39059228  29116 2159448    0    0 58142 27252 10677 12252 25  3 33 38  0
 3  9   5064 38784544  29728 2437528    0    0 51350  7832 14019 14906 24  4 36 37  0
 1  3   5064 37110248  30144 2715788    0    0 53346  4618 14912 15792 26  6 35 33  0
 3  6   5064 36913664  30412 2892428    0    0 40340 15414 11839 10089 19  3 53 25  0
 4  3   5064 36504828  30772 3161028    0    0 54750  3184 14657 15028 25  3 47 25  0
 4  7   5064 36155660  31212 3472364    0    0 61852  5066 16462 17176 30  4 46 19  0
 3  3   5064 35821000  31576 3750772    0    0 62158    10 15335 15063 26  3 51 19  0
 4  3   5064 35594832  32044 3975956    0    0 49866 16266 14146 12899 22  3 60 14  0
 1  3   5064 35411652  32568 4158600    0    0 39090 29382 11681 11554 17  2 67 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
