procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3   9316 31362632   4020  64016    0    0    39    20    1    0  0  0 99  0  0
 1  2   9316 31304812   4268  76132    0    0  5854     0 1141 1293  4  0 84 12  0
 3  1   9316 31283360   4984  81692    0    0  2832     0 1040  962  2  0 83 15  0
 0  2   9316 31262396   5700  86388    0    0  2362     0 1261  930  2  0 82 16  0
 1  0   9316 31217280   5912 100492    0    0  6912   144 1104 1055  4  0 86  9  0
14  0   9316 31041636   5948 112676    0    0  6200     0 3055 4329 16  1 82  2  0
 2  1   9316 30839740   6068 166832    0    0   400     0 17223 24072 23  1 76  0  0
 2 13   9316 29572936   6296 307720    0    0 27920     0 26437 36278 28  5 42 25  0
 7  7   9316 25878948   6744 632896    0    0 57794     0 33784 40191 34 11 31 24  0
 7  8   9316 24662972   7108 992724    0    0 60710     0 35158 42251 34  8 32 27  0
 7  8   9316 24023288   7448 1354272    0    0 62146     0 34596 44018 33  6 40 21  0
 6  8   9316 23627724   7788 1720360    0    0 64810     0 35368 41898 34  6 34 26  0
 5  9   9316 23317980   8084 2025052    0    0 53224 36286 27919 30641 31  5 37 27  0
 2 10   9316 22892380   8460 2415520    0    0 77110  7142 30070 36067 35  5 29 31  0
 2  8   9316 22422444   8800 2769440    0    0 61482     0 31357 39583 31  6 33 31  0
 5  8   9316 22067788   9140 3123392    0    0 55016 18850 38198 49089 29  7 39 26  0
 6  4   9316 20240912   9476 3481976    0    0 55724  7022 39882 51790 30  8 43 20  0
 2  7   9316 19891512   9900 3830368    0    0 53486     2 46095 58921 29  6 43 22  0
 3  3   9316 17976140  11616 5552704    0    0 293148 18160 169298 210881 28  6 42 25  0
 0  4   9316 17674268  11936 5856032    0    0 42286 22516 38331 53017 21  4 61 14  0
 3  5   9316 17394896  12216 6133132    0    0 35142 22894 37844 50931 18  5 62 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  8   9316 17167536  12412 6350676    0    0 32282 22802 24150 30316 16  4 66 14  0
 1  2   9316 16966780  12620 6549768    0    0 32786 16930 22781 25870 15  3 63 20  0
 2  3   9316 16803984  12788 6713768    0    0 17194 40270 26413 30514 10  3 70 17  0
 2  4   9316 16669088  12916 6848072    0    0 16890 43508 24397 27692  9  3 78 11  0
 0  2   9316 16533548  13040 6983488    0    0 16144 34934 24055 27171  8  3 80  9  0
 1  3   9316 16404224  13164 7111468    0    0 13354 40884 25361 29342  7  2 79 12  0
 2  2   9316 16279140  13272 7235016    0    0 15732 38050 20919 22611  9  2 72 17  0
 0  3   9316 16178948  13380 7334312    0    0 12048 49660 19066 20655  6  2 76 16  0
 1  2   9316 16067208  13496 7447108    0    0 13202 43088 20464 23273  7  2 74 17  0
 4  2   9316 15935032  13624 7578088    0    0 14864 42642 23458 26812  8  2 74 15  0
 2  2   9316 15783636  13760 7728928    0    0 15758 27230 25496 29900  8  3 73 16  0
 1 11   9316 15677872  13912 7835060    0    0 15038 37066 23984 26311  8  4 74 13  0
 0  3   9316 15546100  14020 7969136    0    0 15078  8712 24377 28396  7  3 55 35  0
 0  3   9316 15404120  14152 8107572    0    0 15758 63364 25624 28838  9  3 72 17  0
 1  2   9316 15237340  14316 8271104    0    0 16786 33200 30981 36345 10  3 70 17  0
