procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2  52108 31581888  11256  63828    0    0    36    18    1    1  0  0 99  0  0	
 1  0  52108 31516692  11720  75260    0    0  5884     0 1703 2033  3  0 88  8  0	
 2  0  52108 31458492  12260  85156    0    0  5306     0 2049 1893  6  0 89  5  0	
 0  0  52108 31299080  12280  95096    0    0  4870   228 2944 3364  7  1 89  3  0	
 1  0  52108 31278048  12280  96628    0    0   736     0  736 1228  1  0 99  0  0	
14  0  52108 31094876  12420 101360    0    0  2304    50 5007 4115 24  1 74  1  0	
 0  2  52108 30804768  12432 123888    0    0 10554    20 5613 6175 14  2 76  8  0	
 7  5  52108 28595952  12432 264416    0    0 38846     0 14337 12406 32  5 41 23  0	
 6 12  52108 25521684  12440 648468    0    0 57664    62 48858 47220 45 15 18 22  0	
 5 12  52108 24617352  12440 1004944    0    0 64000     0 40541 40275 32  8 30 30  0	
 0 13  52108 24179208  12444 1390704    0    0 63872    26 46450 48727 30  8 31 30  0	
 7 13  52108 23669980  12448 1814948    0    0 72770     2 47774 46886 36  8 30 26  0	
 4 12  52108 23277936  12448 2172604    0    0 65536     0 39860 37928 33  7 29 31  0	
 4 12  52108 22814196  12460 2513500    0    0 61376   144 38940 35881 29  8 34 29  0	
 5 11  52108 21844652  12460 2999960    0    0 94592     0 54428 49974 23  6 38 32  0	
 5 11  52108 20589564  12468 3369008    0    0 61056    66 44281 43897 32 10 31 26  0	
 9 12  52108 20145516  12468 3737744    0    0 66884     0 41847 43136 29  8 35 29  0	
 3 10  52108 19595172  12476 4106248    0    0 61836    58 44590 45075 27  9 35 29  0	
 4  6  52108 19166224  12480 4509332    0    0 58376     0 52955 58972 30  9 36 24  0	
 7 10  52108 18778752  12480 4885800    0    0 57856     0 50779 56533 27  9 39 26  0	
 5  8  52108 18411736  12492 5241348    0    0 45892 40020 51693 57629 24  9 40 28  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  8  52108 18040572  12492 5585420    0    0 50816     0 47921 50383 27  8 36 29  0	
 3  6  52108 17699944  12492 5919180    0    0 45824  8196 48309 51454 25  8 46 21  0	
 8 11  52108 17326004  12492 6259356    0    0 53440     0 44242 44273 25  8 39 28  0	
 5 11  52108 16957988  12496 6617960    0    0 55360  8244 46388 46223 27  8 35 30  0	
 3 10  52108 16627364  12496 6943772    0    0 56066     0 39732 38983 25  7 41 27  0	
 2 12  52108 16315992  12496 7248592    0    0 57792     0 34709 33182 25  6 37 31  0	
 8 10  52108 16014108  12500 7539876    0    0 60358  8192 30178 27483 25  6 36 34  0	
 5 12  52108 15759436  12500 7788496    0    0 51840     0 29975 26045 23  5 43 29  0	
 4 10  52108 15480156  12500 8055396    0    0 54144     0 30874 26372 23  5 41 31  0	
 3 10  52108 15205868  12500 8324268    0    0 53568  8192 29299 25499 22  5 40 33  0	
 2 10  52108 14941376  12500 8584032    0    0 52484     0 28546 24513 22  5 42 32  0	
 5  8  52108 14679996  12500 8828724    0    0 52992     0 28840 23312 23  5 37 35  0	
 4  7  52108 14399716  12500 9103428    0    0 56578  7938 30863 26101 24  6 41 29  0	
 4  9  52108 14116056  12500 9379904    0    0 56770     0 33070 28077 24  5 41 29  0	
 3  9  52108 13845264  12500 9645536    0    0 49664     0 36187 30361 22  6 44 28  0	
 7  7  52108 13562488  12500 9911920    0    0 50434  8192 37804 31459 23  6 47 24  0	
