 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2527.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 5916.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 8916.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 12959.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.4 15379136.0    0.0     21248.0 13860.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.4 15379136.0    0.0     21248.0 15721.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.8 15379136.0    0.0     21248.0 18970.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 1499650.8 15379136.0    0.0     22976.0 22965.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3460772.3 15379136.0    0.0     28352.0 28272.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3576117.2 15379136.0    0.0     31808.0 31617.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5191294.9 15379136.0    0.0     34304.0 34171.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5306639.6 15379136.0    0.0     36608.0 36535.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5306639.6 15379136.0    0.0     38720.0 38608.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537329.0 15379136.0    0.0     40640.0 40420.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537329.0 15379136.0    0.0     46208.0 46075.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   104609.6 5767232.0 2161019.5 15379136.0    0.0     48704.0 48631.4      1    0.094   0      0.000    0.094
961152.0 961152.0  0.0   104609.6 5767232.0 3765583.7 15379136.0    0.0     50240.0 49930.0      1    0.094   0      0.000    0.094
961152.0 961152.0 123056.7  0.0   5767232.0 2177424.2 15379136.0    0.0     50240.0 50178.6      2    0.192   0      0.000    0.192
961152.0 961152.0 123056.7  0.0   5767232.0 5242326.6 15379136.0    0.0     50432.0 50263.8      2    0.192   0      0.000    0.192
961152.0 961152.0  0.0   121449.8 5767232.0 3345920.4 15379136.0    0.0     50432.0 50389.2      3    0.248   0      0.000    0.248
961152.0 961152.0 122573.3  0.0   5767232.0 773118.5 15379136.0    0.0     50432.0 50403.0      4    0.298   0      0.000    0.298
961152.0 961152.0 122573.3  0.0   5767232.0 4056824.5 15379136.0    0.0     50432.0 50403.9      4    0.298   0      0.000    0.298
136704.0 961152.0  0.0   128778.0 5767232.0 1596758.1 15379136.0    0.0     50432.0 50408.5      5    0.350   0      0.000    0.350
136704.0 961152.0  0.0   128778.0 5767232.0 5116529.4 15379136.0    0.0     50432.0 50409.5      5    0.350   0      0.000    0.350
136704.0 134848.0 121489.5  0.0   7417984.0 2400753.3 15379136.0    0.0     50816.0 50673.6      6    0.446   0      0.000    0.446
136704.0 134848.0 121489.5  0.0   7417984.0 5216012.9 15379136.0    0.0     50816.0 50674.3      6    0.446   0      0.000    0.446
145728.0 62080.0  0.0   62044.0 7417984.0 760679.2 15379136.0  67791.2   50816.0 50676.3      7    0.527   0      0.000    0.527
145728.0 62080.0  0.0   62044.0 7417984.0 3614990.3 15379136.0  67791.2   50816.0 50676.6      7    0.527   0      0.000    0.527
145728.0 62080.0  0.0   62044.0 7417984.0 6382612.2 15379136.0  67791.2   50816.0 50677.2      7    0.527   0      0.000    0.527
145728.0 151488.0 62340.3  0.0   7386560.0 2070418.3 15379136.0  67919.2   50816.0 50677.6      8    0.549   0      0.000    0.549
145728.0 151488.0 62340.3  0.0   7386560.0 4837121.5 15379136.0  67919.2   50816.0 50742.5      8    0.549   0      0.000    0.549
154688.0 61760.0  0.0   61707.7 7386560.0 154345.2 15379136.0  68007.2   50816.0 50748.9      9    0.578   0      0.000    0.578
154688.0 61760.0  0.0   61707.7 7386560.0 3068471.1 15379136.0  68007.2   50816.0 50749.2      9    0.578   0      0.000    0.578
154688.0 61760.0  0.0   61707.7 7386560.0 5749729.1 15379136.0  68007.2   50816.0 50749.2      9    0.578   0      0.000    0.578
154688.0 156544.0 58894.3  0.0   7376448.0 1123942.1 15379136.0  70646.6   50816.0 50752.5     10    0.600   0      0.000    0.600
154688.0 156544.0 58894.3  0.0   7376448.0 3710458.3 15379136.0  70646.6   50816.0 50752.5     10    0.600   0      0.000    0.600
154688.0 156544.0 58894.3  0.0   7376448.0 6391706.1 15379136.0  70646.6   50816.0 50752.5     10    0.600   0      0.000    0.600
158976.0 47808.0  0.0   47805.2 7376448.0 1555979.4 15379136.0  81150.2   50816.0 50782.4     11    0.621   0      0.000    0.621
158976.0 47808.0  0.0   47805.2 7376448.0 4239449.8 15379136.0  81150.2   50816.0 50787.9     11    0.621   0      0.000    0.621
158976.0 47808.0  0.0   47805.2 7376448.0 7175375.4 15379136.0  81150.2   50816.0 50794.8     11    0.621   0      0.000    0.621
158976.0 158464.0 55834.0  0.0   7372096.0 2998551.3 15379136.0  85320.8   50816.0 50796.7     12    0.644   0      0.000    0.644
158976.0 158464.0 55834.0  0.0   7372096.0 6513747.4 15379136.0  85320.8   50816.0 50799.7     12    0.644   0      0.000    0.644
158976.0 158464.0  0.0   44129.4 7372096.0 2279064.8 15379136.0  104909.1  50816.0 50800.0     13    0.677   0      0.000    0.677
158976.0 158464.0  0.0   44129.4 7372096.0 4948249.1 15379136.0  104909.1  50816.0 50802.7     13    0.677   0      0.000    0.677
158976.0 158464.0  0.0   44129.4 7372096.0 5932558.0 15379136.0  104909.1  51008.0 50823.5     13    0.677   0      0.000    0.677
158976.0 156992.0 51678.1  0.0   7373568.0 697590.9 15379136.0  113737.5  51008.0 50823.5     14    0.702   0      0.000    0.702
158976.0 156992.0 51678.1  0.0   7373568.0 3614541.2 15379136.0  113737.5  51008.0 50823.8     14    0.702   0      0.000    0.702
158976.0 156992.0 51678.1  0.0   7373568.0 6801608.7 15379136.0  113737.5  51008.0 50823.8     14    0.702   0      0.000    0.702
156224.0 156992.0  0.0   40572.6 7373568.0 2769171.6 15379136.0  126084.0  51008.0 50824.8     15    0.726   0      0.000    0.726
156224.0 156992.0  0.0   40572.6 7373568.0 5830743.1 15379136.0  126084.0  51008.0 50825.5     15    0.726   0      0.000    0.726
156224.0 152960.0 49377.4  0.0   7380352.0 1616009.7 15379136.0  130405.6  51008.0 50834.6     16    0.744   0      0.000    0.744
156224.0 152960.0 49377.4  0.0   7380352.0 4828765.9 15379136.0  130405.6  51008.0 50834.6     16    0.744   0      0.000    0.744
149632.0 152960.0  0.0   47239.4 7380352.0 503126.8 15379136.0  141400.6  51008.0 50841.6     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 2565383.5 15379136.0  141400.6  51008.0 50841.6     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 3620142.4 15379136.0  141400.6  51008.0 50842.4     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4006372.5 15379136.0  141400.6  51008.0 50844.3     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4137885.8 15379136.0  141400.6  51008.0 50844.5     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4329261.7 15379136.0  141400.6  51008.0 50844.5     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4409984.0 15379136.0  141400.6  51008.0 50846.0     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4623467.4 15379136.0  141400.6  51008.0 50847.0     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 4867373.6 15379136.0  141400.6  51008.0 50847.3     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 5106147.1 15379136.0  141400.6  51008.0 50851.8     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 5356327.5 15379136.0  141400.6  51008.0 50852.6     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 5601612.3 15379136.0  141400.6  51008.0 50853.4     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 5855299.7 15379136.0  141400.6  51008.0 50853.7     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 6076048.3 15379136.0  141400.6  51008.0 50854.1     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 6275307.9 15379136.0  141400.6  51008.0 50854.8     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 6494267.7 15379136.0  141400.6  51008.0 50854.8     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 6724798.3 15379136.0  141400.6  51008.0 50854.8     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 6943926.8 15379136.0  141400.6  51008.0 50854.8     17    0.766   0      0.000    0.766
149632.0 152960.0  0.0   47239.4 7380352.0 7239218.4 15379136.0  141400.6  51008.0 50856.4     17    0.766   0      0.000    0.766
149632.0 142976.0 64351.0  0.0   7396928.0 381340.5 15379136.0  146245.0  51008.0 50862.3     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 713915.9 15379136.0  146245.0  51008.0 50862.3     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 1105111.4 15379136.0  146245.0  51008.0 50862.6     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 1577683.2 15379136.0  146245.0  51008.0 50863.4     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 1980099.0 15379136.0  146245.0  51008.0 50865.3     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 2425446.8 15379136.0  146245.0  51008.0 50865.5     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 2840917.0 15379136.0  146245.0  51008.0 50865.7     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 3340805.3 15379136.0  146245.0  51008.0 50866.9     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 3757623.3 15379136.0  146245.0  51008.0 50867.5     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 4170547.8 15379136.0  146245.0  51008.0 50867.5     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 4529812.2 15379136.0  146245.0  51008.0 50867.6     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 4863682.9 15379136.0  146245.0  51008.0 50867.7     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 5287246.5 15379136.0  146245.0  51008.0 50867.7     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 5738128.2 15379136.0  146245.0  51008.0 50868.4     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 6184449.8 15379136.0  146245.0  51008.0 50868.6     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 6557347.9 15379136.0  146245.0  51008.0 50868.9     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 6981968.6 15379136.0  146245.0  51008.0 50868.9     18    0.786   0      0.000    0.786
149632.0 142976.0 64351.0  0.0   7396928.0 7351431.9 15379136.0  146245.0  51008.0 50868.9     18    0.786   0      0.000    0.786
136832.0 142976.0  0.0   64295.3 7396928.0 431629.8 15379136.0  146463.7  51008.0 50868.9     19    0.803   0      0.000    0.803
136832.0 142976.0  0.0   64295.3 7396928.0 820087.7 15379136.0  146463.7  51008.0 50868.9     19    0.803   0      0.000    0.803
136832.0 142976.0  0.0   64295.3 7396928.0 1120759.9 15379136.0  146463.7  51008.0 50868.9     19    0.803   0      0.000    0.803
136832.0 142976.0  0.0   64295.3 7396928.0 1395746.1 15379136.0  146463.7  51008.0 50868.9     19    0.803   0      0.000    0.803
