 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2774.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.4 15379136.0    0.0     21248.0 13271.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 692197.6 15379136.0    0.0     22016.0 21653.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3691419.6 15379136.0    0.0     33920.0 33867.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3691419.6 15379136.0    0.0     33920.0 33867.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5306597.3 15379136.0    0.0     39104.0 39008.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   107095.2 5767232.0 2455397.0 15379136.0    0.0     50048.0 49944.2      1    0.089   0      0.000    0.089
961152.0 961152.0 89413.7  0.0   5767232.0   0.0    15379136.0    0.0     50240.0 50056.1      2    0.180   0      0.000    0.180
961152.0 961152.0 89413.7  0.0   5767232.0 3584376.5 15379136.0    0.0     50240.0 50181.2      2    0.180   0      0.000    0.180
961152.0 961152.0  0.0   100064.8 5767232.0 1273468.3 15379136.0    0.0     50240.0 50193.4      3    0.213   0      0.000    0.213
961152.0 961152.0  0.0   100064.8 5767232.0 4442351.5 15379136.0    0.0     50240.0 50213.0      3    0.213   0      0.000    0.213
961152.0 961152.0 109322.9  0.0   5767232.0 2722973.4 15379136.0    0.0     50432.0 50299.9      4    0.260   0      0.000    0.260
114496.0 961152.0  0.0   104761.5 5767232.0 517225.6 15379136.0    0.0     50432.0 50305.6      5    0.291   0      0.000    0.291
114496.0 961152.0  0.0   104761.5 5767232.0 3911757.6 15379136.0    0.0     50432.0 50306.2      5    0.291   0      0.000    0.291
114496.0 117696.0 111330.3  0.0   7454144.0 1458834.0 15379136.0    0.0     50432.0 50307.9      6    0.396   0      0.000    0.396
114496.0 117696.0 111330.3  0.0   7454144.0 4734314.9 15379136.0    0.0     50432.0 50308.2      6    0.396   0      0.000    0.396
