 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 6106.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.5 15379136.0    0.0     21248.0 14363.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3345352.7 15379136.0    0.0     31232.0 30984.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 4383582.9 15379136.0    0.0     45632.0 45515.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   29533.6 5767232.0 5767232.0 15379136.0    0.0     48128.0 48029.0      1    0.000   0      0.000    0.000
961152.0 961152.0  0.0   57988.2 5767232.0 2990335.3 15379136.0    0.0     49472.0 49380.5      1    0.047   0      0.000    0.047
961152.0 961152.0 227047.8  0.0   5767232.0 2189988.6 15379136.0    0.0     50816.0 50722.6      2    0.122   0      0.000    0.122
961152.0 961152.0  0.0   208095.5 5767232.0 618185.3 15379136.0    0.0     50816.0 50793.7      3    0.166   0      0.000    0.166
961152.0 961152.0  0.0   208095.5 5767232.0 5296262.9 15379136.0    0.0     50816.0 50814.3      3    0.166   0      0.000    0.166
961152.0 961152.0 222494.5  0.0   5767232.0 4405730.8 15379136.0    0.0     51008.0 50819.6      4    0.215   0      0.000    0.215
313344.0 961152.0  0.0   224728.0 5767232.0 3054621.1 15379136.0    0.0     51008.0 50822.9      5    0.272   0      0.000    0.272
313344.0 317312.0 230536.8  0.0   7054912.0 1969196.5 15379136.0    0.0     51008.0 50867.8      6    0.329   0      0.000    0.329
313344.0 317312.0 230536.8  0.0   7054912.0 6388791.4 15379136.0    0.0     51008.0 50868.2      6    0.329   0      0.000    0.329
335808.0 33472.0  0.0   33449.1 7054912.0 3941222.4 15379136.0  190313.8  51008.0 50869.1      7    0.393   0      0.000    0.393
335808.0 33472.0  0.0   33449.1 7054912.0 6722782.5 15379136.0  190313.8  51008.0 50922.4      7    0.393   0      0.000    0.393
335808.0 343488.0 33462.9  0.0   7002560.0 1884985.1 15379136.0  190393.8  51200.0 51063.3      8    0.403   0      0.000    0.403
335808.0 343488.0 33462.9  0.0   7002560.0 4668903.4 15379136.0  190393.8  51200.0 51065.4      8    0.403   0      0.000    0.403
337600.0 343488.0  0.0   75167.7 7002560.0   0.0    15379136.0  190441.8  51200.0 51065.8      9    0.431   0      0.000    0.431
337600.0 343488.0  0.0   75167.7 7002560.0 2333240.4 15379136.0  190441.8  51200.0 51067.8      9    0.431   0      0.000    0.431
337600.0 343488.0  0.0   75167.7 7002560.0 5228551.9 15379136.0  190441.8  51200.0 51072.7      9    0.431   0      0.000    0.431
