 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 8474.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.4 15379136.0    0.0     21248.0 15346.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3576138.2 15379136.0    0.0     28352.0 28159.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3922172.9 15379136.0    0.0     33920.0 33867.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5422005.9 15379136.0    0.0     37568.0 37509.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5767232.0 15379136.0    0.0     47936.0 47769.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   104710.4 5767232.0 3575092.5 15379136.0    0.0     48896.0 48778.9      1    0.084   0      0.000    0.084
961152.0 961152.0 97605.3  0.0   5767232.0 2203805.2 15379136.0    0.0     50240.0 50155.8      2    0.150   0      0.000    0.150
961152.0 961152.0 97605.3  0.0   5767232.0 5575529.4 15379136.0    0.0     50432.0 50268.1      2    0.150   0      0.000    0.150
961152.0 961152.0  0.0   92740.8 5767232.0 4269935.0 15379136.0    0.0     50432.0 50362.8      3    0.184   0      0.000    0.184
961152.0 961152.0 97835.7  0.0   5767232.0 1551315.1 15379136.0    0.0     50432.0 50378.5      4    0.224   0      0.000    0.224
961152.0 961152.0 97835.7  0.0   5767232.0 4228370.9 15379136.0    0.0     50624.0 50536.4      4    0.224   0      0.000    0.224
104384.0 961152.0  0.0   98825.2 5767232.0 2152887.9 15379136.0    0.0     50624.0 50540.7      5    0.261   0      0.000    0.261
104384.0 961152.0 256.0  98825.2 5767232.0 5767232.0 15379136.0    0.0     50624.0 50541.1      6    0.261   0      0.000    0.261
104384.0 107264.0 104364.4  0.0   7475008.0 2681498.4 15379136.0   736.0    50624.0 50541.7      6    0.317   0      0.000    0.317
104384.0 107264.0 104364.4  0.0   7475008.0 6915799.0 15379136.0   736.0    50624.0 50542.8      6    0.317   0      0.000    0.317
121152.0 31552.0  0.0   31537.7 7475008.0 3537862.6 15379136.0  73525.8   50624.0 50542.8      7    0.378   0      0.000    0.378
121152.0 31552.0  0.0   31537.7 7475008.0 6706306.0 15379136.0  73525.8   50624.0 50542.8      7    0.378   0      0.000    0.378
121152.0 129408.0 28946.1  0.0   7430720.0 7263166.6 15379136.0  73645.8   50624.0 50544.1      9    0.394   0      0.000    0.394
134848.0 25280.0  0.0   25256.8 7430720.0 3350785.3 15379136.0  90976.3   51008.0 50909.9      9    0.413   0      0.000    0.413
134848.0 25280.0  0.0   25256.8 7430720.0 5734418.2 15379136.0  90976.3   51008.0 50938.0      9    0.413   0      0.000    0.413
134848.0 129984.0 70291.0  0.0   7424704.0 1777589.9 15379136.0  91032.3   51008.0 50939.6     10    0.448   0      0.000    0.448
134848.0 129984.0 70291.0  0.0   7424704.0 5256450.5 15379136.0  91032.3   51008.0 50941.1     10    0.448   0      0.000    0.448
130368.0 129984.0  0.0   41745.0 7424704.0 644296.2 15379136.0  110645.0  51008.0 50941.1     11    0.486   0      0.000    0.486
130368.0 129984.0  0.0   41745.0 7424704.0 4043749.6 15379136.0  110645.0  51008.0 50946.9     11    0.486   0      0.000    0.486
130368.0 131008.0 34372.4  0.0   7427520.0 105480.0 15379136.0  114991.3  51008.0 50950.8     12    0.503   0      0.000    0.503
130368.0 131008.0 34372.4  0.0   7427520.0 2846130.7 15379136.0  114991.3  51008.0 50951.1     12    0.503   0      0.000    0.503
130368.0 131008.0 34372.4  0.0   7427520.0 6296488.3 15379136.0  114991.3  51008.0 50953.4     12    0.503   0      0.000    0.503
131200.0 30400.0  0.0   30392.8 7427520.0 2311042.3 15379136.0  125388.9  51008.0 50958.1     13    0.524   0      0.000    0.524
131200.0 30400.0  0.0   30392.8 7427520.0 4837967.5 15379136.0  125388.9  51008.0 50961.4     13    0.524   0      0.000    0.524
131200.0 128320.0 42768.7  0.0   7430016.0 763797.5 15379136.0  127534.0  51008.0 50961.4     14    0.542   0      0.000    0.542
131200.0 128320.0 42768.7  0.0   7430016.0 3623241.3 15379136.0  127534.0  51008.0 50961.4     14    0.542   0      0.000    0.542
