procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3  51632 31756812   5576  49432    0    0    47    18    1    0  0  0 99  1  0	
 1  1  51632 31696004   6848  57024    0    0  4318     0 1833 1662  5  1 88  6  0	
 0  1  51632 31624400   6868  66892    0    0  4990   252 2237 1815  6  1 88  5  0	
 0  0  51632 31498672   6872  73620    0    0  3294     0 2247 2548  5  1 92  2  0	
 1  1  51632 31463816   6884  74432    0    0   530    54  997 1421  2  0 97  1  0	
 2  0  51632 31219472   7040  81948    0    0  3632    16 6102 3069 34  1 63  2  0	
 5 13  51632 29987628   7472 190456    0    0 21564     0 17227 14688 27  7 47 20  0	
13 11  51632 27418876   7480 479000    0    0 39232    80 34512 26319 29 16 38 18  0	
 6 12  51632 25755308   7480 843592    0    0 54528     0 42581 32922 35 19 17 29  0	
12 12  51632 24642876   7488 1198600    0    0 57536    26 41084 33649 31 17 16 36  0	
 4 13  51632 24150204   7488 1581360    0    0 49344   802 46347 42731 32 19 22 28  0	
 4 10  51632 23815652   7488 1875664    0    0 33792     0 34618 34264 19 13 23 45  0	
 4 12  51632 23403884   7496 2259372    0    0 51266    20 45417 43086 33 19 19 29  0	
 3 13  51632 23000884   7500 2653520    0    0 56642     0 45911 41819 33 18 17 32  0	
 0 12  51632 22532676   7500 2981108    0    0 54784     0 37235 30524 28 15 24 33  0	
 5 11  51632 21248224   7516 3329976    0    0 69570    56 38318 26193 27 11 34 27  0	
 4 11  51632 20318492   7516 3656068    0    0 60352     0 36612 27645 31 15 24 29  0	
 5 12  51632 20048752   7524 3915976    0    0 50048    56 29255 21359 24 10 28 38  0	
13 11  51632 19180128   7540 4656108    0    0 130066 12070 87898 68143 25 12 24 40  0	
 5 12  51632 18903756   7540 4919500    0    0 46470 40014 33703 26206 29 12 32 28  0	
 0  3  51632 18665008   7540 5150464    0    0 45060     0 28736 21355 19 10 39 33  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  8  51632 18355924   7548 5441564    0    0 48768 37950 38253 26893 24 10 40 26  0	
 5  9  51632 18097804   7548 5693876    0    0 51072     0 32912 21543 26 11 28 36  0	
 3  9  51632 17865376   7556 5903224    0    0 41024  8234 27448 18535 23  9 41 27  0	
 6 10  51632 17599996   7556 6167368    0    0 53952     0 32877 23525 26 11 34 30  0	
 3 12  51632 17311084   7556 6447064    0    0 52672     0 33586 27178 28 12 29 31  0	
 4 10  51632 17082916   7564 6670276    0    0 45568  8236 25546 17697 22  9 41 28  0	
 5 10  51632 16802508   7564 6945836    0    0 52932     0 34153 25632 26 12 29 33  0	
 6 11  51632 16503448   7564 7228948    0    0 54082     0 35588 27083 26 12 28 33  0	
 6 11  51632 16301504   7576 7426000    0    0 40066  8232 24641 16664 20  8 42 31  0	
 3 10  51632 16016316   7576 7703028    0    0 52866     0 34158 25895 26 12 30 32  0	
 0  3  51632 15757272   7576 7957708    0    0 50176     0 31155 22861 22 10 36 32  0	
10 11  51632 15457708   7584 8252304    0    0 51202  7978 36900 28124 27 12 30 31  0	
 2  9  51632 15190384   7584 8506428    0    0 47488     0 31866 23596 23 11 31 36  0	
 4 10  51632 14929184   7600 8760172    0    0 49218  7460 32127 22411 25 11 38 26  0	
 4 10  51632 14671824   7600 9007308    0    0 49090     0 32071 21280 24 10 34 32  0	
 4 11  51632 14427552   7600 9247020    0    0 46400     0 32468 20460 23 10 29 38  0	
 9 13  51632 14217220   7608 9451944    0    0 40900  7978 27892 17291 20  9 35 36  0	
 1 14  51632 14001308   7608 9657924    0    0 43458     0 28179 17243 20  8 23 49  0	
 1 21  51632 13904088   7612 9752176    0    0 17024 48642 16040 9233  7  3 23 66  0	
 1 24  51632 13866240   7628 9789284    0    0  5638 84778 7607 3597  3  1 24 72  0	
 0 21  51632 13803356   7636 9850188    0    0  9858 61186 11311 5975  5  2 18 75  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 20  51632 13709548   7652 9942844    0    0 16964 46098 15943 8720  8  3 23 66  0	
 2 16  51632 13610072   7656 10039760    0    0 16002 44288 17042 9502  8  3 25 64  0	
 4 14  51632 13510468   7660 10137068    0    0 14916 50908 17144 9897  8  3 21 67  0	
 2 17  51632 13394496   7668 10249128    0    0 16384 44830 20924 12135 10  4 12 74  0	
 3 19  51632 13273656   7676 10366300    0    0 18498 45822 20333 12230  9  4 14 72  0	
