procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3    256 31920924   5400  55816    0    0    42    84    0    2  0  0 99  1  0
 1  0    256 31851204   5728  63756    0    0  4012     0 1499 3411  8  1 88  4  0
 0  1    256 31772892   5768  71524    0    0  4106   210 1549 4306  9  1 87  3  0
 0  0    256 31739552   5772  75408    0    0  1628     0 1243 3196  2  0 97  1  0
 0  0    256 31739008   5772  75436    0    0     0     0 1008 2697  0  0 100  0  0
 0  2    256 31667424   5796  77068    0    0   728  1378 1445 4042  4  0 90  6  0
 5  0    256 31459264   5904 113392    0    0   872   238 9309 11534 26  2 68  5  0
 1 15    256 31218588   6152 187960    0    0  6092 40498 15414 17683  9  3 72 16  0
 1 12    256 30339436   6320 339864    0    0 13232   174 26506 27816 20  6 60 14  0
 6 10    256 27632340   6772 645092    0    0 38992     0 29799 36664 27 11 39 22  0
 1 31    256 25845420   6912 777804    0    0 33056 36344 11049 13260 17  6 20 58  0
 6 13    256 25479756   7056 915008    0    0  7368 65686 15395 16820  9  4 54 32  0
 4 15    256 25066516   7300 1167536    0    0 24796 10764 30527 33090 17  6 46 31  0
 1 15    256 24655036   7556 1413724    0    0 28170 11170 28410 30164 17  6 50 28  0
 6 14    256 24209416   7800 1648732    0    0 31560 10608 26803 28546 18  6 48 28  0
 3 14    256 23915404   8020 1876288    0    0 32478 16260 27473 28058 18  5 42 35  0
 3 13    256 23662308   8340 2115604    0    0 30320 17516 29213 29665 18  6 51 25  0
 2 13    256 23402632   8568 2328612    0    0 28120 10910 27075 27630 17  5 52 25  0
10 13    256 23178104   8780 2542144    0    0 34056 15276 26679 26256 19  5 56 20  0
 2 15    256 22925488   9012 2769676    0    0 31578 16252 26746 27582 20  5 46 28  0
 5 13    256 22735352   9220 2955996    0    0 27164  1214 25202 24537 15  5 47 34  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 12    256 22521452   9424 3161740    0    0 29574    52 26779 26762 15  5 63 18  0
 1 30    256 22371716   9584 3309872    0    0 28994 43898 17700 17671 15  4 44 36  0
 5 16    256 22157084   9656 3392056    0    0 21588 20844 6595 8111 10  2 36 52  0
 2 14    256 21920372   9916 3619792    0    0 25140 12408 27366 28951 15  6 52 27  0
 2 15    256 21675048  10148 3856792    0    0 29922 11766 29869 31631 16  6 56 22  0
 9 15    256 20890456  10400 4054172    0    0 28000 11812 28020 28707 14  6 62 18  0
 8 14    256 19890272  10604 4240876    0    0 26828 12458 26321 26407 16  6 51 26  0
 1 12    256 19701992  10836 4424944    0    0 28690 15784 26145 25922 15  5 53 27  0
 3 11    256 19517232  11040 4600972    0    0 30060 12510 24358 23517 15  4 55 26  0
 1 13    256 19315892  11256 4789204    0    0 31846 18096 25656 25817 17  5 50 29  0
 2 14    256 18952792  11432 4974920    0    0 30852  9630 24082 24077 16  5 54 25  0
 4 10    256 18769496  11588 5152580    0    0 30088 15840 24335 24044 15  5 49 31  0
 4 12    256 18581620  11784 5334012    0    0 31278 24022 24542 24962 18  5 47 30  0
 1 13    256 18413116  11960 5494764    0    0 27488 22978 22924 21971 15  4 54 27  0
 3 14    256 18221480  12148 5655828    0    0 29852 11252 21782 20841 15  4 46 34  0
 4 14    256 18025148  12352 5845256    0    0 29552 10026 23339 23016 15  5 54 26  0
 1 10    256 17825216  12540 6038944    0    0 29274 23014 25783 26178 15  5 52 27  0
 8 10    256 17570952  12768 6269584    0    0 32340 17874 28037 28552 18  5 51 26  0
 1  9    256 17366240  12984 6468088    0    0 29104 21560 26827 26252 14  5 51 29  0
 1 10    256 17194788  13132 6632028    0    0 25396 16554 23381 22945 14  5 55 27  0
 1 11    256 17008260  13344 6813040    0    0 31944 18332 21915 21653 16  5 45 34  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 11    256 16778248  13560 7018012    0    0 27870  9576 25040 25967 15  5 46 33  0
 4 10    256 16570204  13772 7218776    0    0 25206 17166 27649 28244 14  5 52 29  0
 4 15    256 16332444  14020 7447284    0    0 30674 17270 26885 28773 17  6 54 23  0
 1 12    256 16150560  14196 7622228    0    0 31030 18322 22801 22036 15  4 44 36  0
 4 12    256 15941360  14412 7817772    0    0 34384 16500 23494 23897 18  5 54 23  0
 2 13    256 15754392  14616 7998624    0    0 31658  9496 23630 23156 15  5 50 30  0
 3 11    256 15582076  14772 8165960    0    0 27358 18250 22727 21280 14  4 51 30  0
 6 12    256 15397092  14964 8344068    0    0 32510 11630 21834 21273 16  4 57 22  0
 1 16    256 15184804  15172 8539100    0    0 33208 10432 23231 22855 17  5 49 30  0
 1 13    256 14972908  15388 8743868    0    0 31374 10548 25537 25830 15  5 48 33  0
 6 14    256 14763236  15596 8944316    0    0 29854 12262 23841 24091 14  4 50 31  0
 1 11    256 14556500  15784 9144732    0    0 29890 11784 24971 24127 14  5 59 23  0
 0 12    256 14349352  15976 9339000    0    0 27550  8108 25728 25817 16  5 50 30  0
 3  9    256 14161036  16156 9520364    0    0 26138 24928 23708 22439 14  5 55 26  0
 1 12    256 13941252  16364 9728036    0    0 34532 17274 23293 23649 16  5 54 25  0
 2 12    256 13759808  16540 9903472    0    0 29976 11198 20105 19745 15  4 53 27  0
 3 13    256 13591140  16712 10062824    0    0 31052 12208 19134 18079 14  4 55 27  0
 1 10    256 13410684  16896 10237532    0    0 34792 16360 18220 17546 16  4 51 30  0
 2 14    256 13219268  17088 10418872    0    0 33802 18628 18553 17962 17  4 45 33  0
 1 12    256 13044980  17248 10583088    0    0 34108 16102 18542 17335 15  4 52 29  0
 5  9    256 12885344  17416 10738524    0    0 32780  9542 15996 14920 14  3 47 35  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 10    256 12726040  17548 10893132    0    0 33442 16806 15212 14088 15  3 46 35  0
 1  7    256 12561348  17696 11052212    0    0 29084 32202 17481 17053 14  4 48 34  0
 8 12    256 12416856  17848 11183324    0    0 22974 17746 16892 16220 14  3 47 36  0
 1 10    256 12238612  18040 11355796    0    0 31268 20460 20225 19482 15  4 49 32  0
 3 11    256 12047020  18260 11538516    0    0 27206 18420 23454 22491 14  5 48 33  0
 3 11    256 11860304  18428 11718392    0    0 25328 17484 22705 21959 14  4 53 28  0
 1  9    256 11664828  18644 11898628    0    0 26640 20790 25503 24832 14  4 56 26  0
 2  7    256 11487812  18868 12068568    0    0 29680 21146 21981 20953 14  4 57 25  0
 1 12    256 11354412  19004 12198360    0    0 21340 32948 18365 16717 12  4 55 30  0
 4  8    256 11217972  19164 12331432    0    0 21462 28472 19992 17889 11  4 69 16  0
 3  9    256 11061656  19300 12482844    0    0 23572 32994 19772 17896 12  4 68 15  0
 3  9    256 10897980  19452 12622104    0    0 23388 27072 19192 17336 13  4 65 18  0
 1  8    256 10738692  19608 12776028    0    0 24246  6808 20826 19130 12  4 50 35  0
 0 19    256 10616096  19764 12919568    0    0 32328 30140 15073 14410 15  8 39 39  0
 0 24    256 10580908  19808 12954220    0    0  2118 57008 7345 6876  3  2 62 33  0
 6 16    256 10463484  19936 13068848    0    0 14822 37238 20702 19224  8  3 61 27  0
 5 14    256 10262040  20120 13267348    0    0 29508 13480 25647 25993 14  5 60 21  0
