procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 162036 30337896   3432  67672    0    0    37    19    0    0  0  0 99  0  0
 1  0 162036 30261568   3576  84056    0    0  7992     0 1623 1351  6  0 87  7  0
 0  0 162036 30257684   3576  85656    0    0   770     0  442  654  0  0 99  0  0
 0  0 162036 30258668   3588  85488    0    0     0   122  406  580  0  0 99  0  0
 0  0 162036 30258668   3588  85404    0    0     0     0  403  572  0  0 100  0  0
 0  0 162036 30259104   3588  85280    0    0     0     0  377  551  0  0 100  0  0
 0  0 162036 30246648   3640  97736    0    0    12     0 2337 2905  0  0 99  0  0
 0  0 162036 30197388   3716 146488    0    0     0     0 5002 6386  1  1 99  0  0
 4  0 162036 30127056   3800 216712    0    0     0     0 7619 10056  1  1 98  0  0
 1  0 162036 30022772   3908 298512    0    0  5412     0 7474 9759  4  1 93  2  0
 1  1 162036 29817112   4008 406692    0    0  6952     0 11517 15381 10  2 86  2  0
 1  2 162036 29520632   4128 495896    0    0  1794 67184 10755 13821 30  2 62  6  0
 2  2 162036 29390672   4220 581744    0    0  1372 71460 8216 11200  3  1 78 18  0
 0  2 162036 29268844   4320 648800    0    0  1510 26718 7271 9793  2  1 80 16  0
 9  8 162036 26975644   4656 815176    0    0 44950     0 14195 19157 32  6 39 23  0
 6  1 162036 23709272   4996 1112940    0    0 65350    18 15075 17337 34  9 48  8  0
 3  0 162036 22843100   5312 1442156    0    0 70190     0 14822 19161 35  5 53  7  0
 8  7 162036 22481708   5688 1794148    0    0 74058    40 15286 20466 34  5 48 13  0
 7  6 162036 22107448   5984 2103720    0    0 55044 39506 16761 22892 33  5 53  9  0
 0  6 162036 21768560   6344 2397796    0    0 44260 13738 18116 24385 27  4 54 15  0
 4  4 162036 21412020   6712 2752668    0    0 50846  6802 19163 29232 25  5 49 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2 162036 20920136   7040 3090688    0    0 53538  6778 18540 27161 26  5 50 19  0
 3  2 162036 20627472   7336 3382696    0    0 46666 34392 18113 25290 22  4 62 12  0
 4  1 162036 20104920   7528 3573236    0    0 27532 20658 17568 21000 13  4 62 22  0
 2  4 162036 18786164   7808 3828520    0    0 34546 42170 19289 25228 18  5 64 12  0
 3  7 162036 18523036   8052 4091960    0    0 35080 29778 18428 24797 17  4 58 20  0
 2  4 162036 18232752   8336 4378848    0    0 45342 18866 18418 24592 20  4 53 23  0
 1  3 162036 17978608   8540 4589248    0    0 28548 41718 18253 23455 15  4 65 16  0
 1  2 162036 17829776   8688 4737208    0    0 22044 44830 16332 18667 11  3 70 16  0
 2  5 162036 17659864   8872 4906524    0    0 24630 36492 16616 19269 12  3 63 22  0
 2  3 162036 17528176   8984 5037864    0    0 17168 51180 15383 17936  8  3 66 23  0
 2  1 162036 17367428   9156 5199856    0    0 22144 42970 18186 20903 11  3 72 14  0
 1  2 162036 17179536   9272 5329836    0    0 16400 43294 16189 17830  9  3 76 12  0
 3  2 162036 17021528   9428 5484644    0    0 21786 39546 17065 19327 12  3 70 15  0
 2  5 162036 16848060   9600 5657888    0    0 27466 27378 17144 19357 13  3 64 20  0
 3  4 162036 16705568   9772 5800184    0    0 19812 43546 17781 20974 10  5 72 12  0
 0  2 162036 16494140   9976 6010540    0    0 24346 44134 18469 23245 13  3 61 23  0
 5  4 162036 16320888  10160 6183848    0    0 18204 35820 17317 20811  9  3 72 16  0
 0  2 162036 16101780  10356 6375032    0    0 20378 54928 18263 22318 11  3 71 15  0
 1  2 162036 15951492  10480 6525044    0    0 21268 26788 16921 20227 10  3 69 18  0
 1  2 162036 15818728  10612 6657948    0    0 16146 55020 15366 18654  9  3 78 10  0
 1  4 162036 15697820  10764 6778084    0    0 15950 46238 14820 17870  7  2 80 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 162036 15520120  10932 6955496    0    0 25958 32272 14609 19534 13  3 73 12  0
 4  2 162036 15289372  11140 7170548    0    0 38698 29954 13272 17415 17  3 62 18  0
 2  3 162036 15022888  11416 7436456    0    0 33192 32278 15784 22061 15  4 62 19  0
 2  2 162036 14795380  11640 7662956    0    0 23578 44354 15907 21823 12  4 65 19  0
 0  2 162036 14640132  11800 7818312    0    0 11532 63272 13560 16622  7  2 74 17  0
 4  4 162036 14410352  12012 8033804    0    0 28214 30100 15660 20799 14  3 63 19  0
 1  3 162036 14200584  12204 8244756    0    0 28932 36788 14670 19448 13  3 62 21  0
 4  3 162036 13996976  12376 8447932    0    0 28594 38072 14160 19439 13  3 63 21  0
 4  4 162036 13836040  12560 8607860    0    0 22692 51172 13855 17805 11  2 68 18  0
 2  3 162036 13622852  12804 8817896    0    0 38186 20282 12860 18835 17  3 58 22  0
 3  4 162036 13352392  13064 9087864    0    0 53026 17584 12866 19774 22  4 53 21  0
 2  3 162036 13089892  13316 9349400    0    0 51912 13190 12585 18797 21  3 54 21  0
 2  2 162036 12837668  13564 9581340    0    0 42646 25870 14007 19096 19  3 63 15  0
 2  5 162036 12612104  13796 9806552    0    0 35548 37508 15077 19988 16  3 58 23  0
 3  2 162036 12356400  14028 10048040    0    0 36400 39490 14297 19812 16  4 62 18  0
 2  2 162036 12146708  14248 10266216    0    0 31652 26896 13774 17802 15  3 62 20  0
 2  3 162036 11927980  14468 10483920    0    0 32576 44258 14038 17982 15  3 65 17  0
 2  3 162036 11753396  14620 10658312    0    0 28802 32542 11772 15722 14  3 66 18  0
 1  5 162036 11569752  14772 10824924    0    0 26184 43086 12567 15717 13  2 64 20  0
 2  3 162036 11380560  14968 11014056    0    0 34454 32186 13012 16169 15  3 65 17  0
 3  2 162036 11173224  15184 11221652    0    0 37262 33346 13685 16587 16  3 60 20  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3 162036 10971320  15396 11422588    0    0 36138 26150 13491 17079 17  3 62 19  0
 2  4 162036 10665800  15712 11718580    0    0 56382 14696 15724 20930 25  4 53 18  0
 2  5 162036 10359612  16016 12023384    0    0 61632 13738 15271 20834 28  4 48 20  0
 3  5 162036 10002972  16332 12361340    0    0 65778     0 15677 23148 29  4 47 19  0
 1  6 162036 9664288  16672 12689824    0    0 63046  6314 17945 26089 28  5 42 24  0
 4  6 162036 9350476  16972 13005212    0    0 60298 14030 16653 24411 27  5 47 21  0
 1  5 162036 9049740  17256 13295248    0    0 59758  6192 16049 21893 25  4 52 19  0
 3  4 162036 8846200  17480 13497280    0    0 39044 32474 11968 14680 17  3 58 22  0
 3  3 162036 8600356  17708 13746680    0    0 40998 24694 13821 20367 19  4 55 22  0
 2  2 162036 8364972  17992 13972596    0    0 46012 26818 11676 16178 19  3 56 22  0
 5  3 162036 8115640  18224 14222912    0    0 45362  4166 12797 18690 20  3 54 23  0
 5  2 162036 7852720  18540 14463984    0    0 55490   756 14298 19655 24  9 50 17  0
 3  3 162036 7573232  18816 14742600    0    0 54350 20610 13842 19785 24  4 52 20  0
 0  8 162036 7387232  19016 14926580    0    0 33212 32184 12926 16172 15  3 54 27  0
 3  3 162036 7123616  19252 15178056    0    0 50206  9168 13395 18176 21  4 51 25  0
 4  3 162036 6857016  19520 15443932    0    0 54966  5626 12930 17785 23  3 52 21  0
 7  5 162036 6525688  19820 15761596    0    0 51248 16104 15042 21701 24  4 51 21  0
 4  3 162036 6228244  20104 16060188    0    0 44954 32542 14662 21135 24  5 55 16  0
 3  2 162036 5972524  20364 16312776    0    0 40754 28016 14739 17846 19  3 61 17  0
 2  3 162036 5763104  20564 16497468    0    0 32288 26918 12618 13127 14  3 66 17  0
 3  2 162036 5551676  20764 16709940    0    0 38060 32516 13774 15373 16  3 69 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  5 162036 5315712  20996 16945140    0    0 29390 43560 16266 20542 15  4 63 18  0
 1  3 162036 5130612  21152 17116736    0    0 20352 32560 13802 16344 10  3 68 19  0
 0  3 162036 4961096  21332 17286660    0    0 21632 49586 13130 15837 10  3 71 17  0
 0  3 162036 4788900  21492 17458812    0    0 21682 28172 12735 15890 10  2 70 17  0
 3  6 162036 4648500  21640 17596760    0    0 23092 46832 12038 13629 11  2 70 17  0
 4  3 162036 4525524  21744 17719444    0    0 21114 53294 9554 10607  9  2 68 21  0
 2  3 162036 4381420  21920 17864908    0    0 20096 44236 11671 14727  9  2 71 17  0
 3  3 162036 4150928  22108 18057256    0    0 38056 24256 11332 14703 16  3 65 16  0
 1  3 162036 3967764  22296 18240964    0    0 32934 27446 12665 16235 15  3 68 14  0
 2  3 162036 3801240  22464 18406776    0    0 28574 49064 12163 16449 12  3 76  9  0
 6  3 162036 3584744  22684 18600876    0    0 37164 18562 12636 16548 16  3 70 11  0
 2  5 162036 3332900  22912 18852960    0    0 48970 22260 12851 18196 21  3 60 16  0
 4  4 162036 3089488  23140 19096832    0    0 46740 19950 12272 17973 19  3 64 14  0
 3  5 162036 2891468  23324 19267104    0    0 31732 35280 11384 14981 14  3 69 14  0
 1  2 162036 2769080  23472 19390028    0    0 17482 52912 10654 12148  8  2 73 18  0
 2  3 162036 2571192  23664 19587984    0    0 26296 46064 12457 15164 12  3 71 14  0
 2  2 162036 2371744  23860 19788164    0    0 19832 49058 13950 17483 11  3 69 17  0
 3  3 162036 2093992  24140 20065512    0    0 20502 29670 16277 22749 12  4 66 18  0
 0  2 162036 1844032  24372 20311520    0    0 14094 56490 15779 21527  9  4 69 18  0
