procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2  11672 10191912  17484 11269388    0    0 19304 33966 22481 14701  4  1 83 12  0
 2  2  11672 10052848  17596 11407452    0    0 21648 26556 21591 13136  5  1 82 12  0
 0  3  11672 9931384  17704 11530140    0    0 12426 52620 23148 15965  4  1 83 11  0
 5  4  11672 9758304  17896 11703268    0    0 17180 32792 27130 18190  6  1 74 18  0
 6  4  11672 9464744  18232 11992192    0    0 51164  5300 28297 19695 19  2 56 23  0
 4  7  11672 9191280  18512 12265564    0    0 44518  7286 23402 17689 17  2 59 22  0
 7  8  11672 8929560  18752 12528120    0    0 50352     0 22295 15958 18  2 58 21  0
 5  7  11672 8621304  19044 12814372    0    0 55350  6500 24338 17563 21  3 62 15  0
 9  7  11672 8354952  19280 13081616    0    0 54530     0 21017 15006 21  2 55 22  0
 5  6  11672 8102928  19520 13320040    0    0 46128  6944 21135 14086 18  2 54 26  0
 8  2  11672 7851696  19784 13572360    0    0 49572    64 22981 16486 18  2 61 19  0
 5  2  11672 7659512  19968 13741200    0    0 30368 27150 19581 12297 11  1 79  9  0
 5  3  11672 7471608  20172 13929212    0    0 34084  6982 20788 13832 11  1 71 16  0
 4  2  11672 7263840  20368 14136172    0    0 43052  6786 17150 9306 14  2 68 16  0
 2  5  11672 7061680  20556 14340528    0    0 36544 18908 18231 11004 13  1 69 16  0
 2  6  11672 6829888  20752 14548392    0    0 43158 20606 16997 9986 14  1 61 23  0
 4  2  11672 6655544  20928 14722372    0    0 32292 21866 18293 9679  9  2 69 20  0
 4  5  11672 6457184  21144 14920544    0    0 36392 18514 20922 11054 11  2 70 17  0
 3  6  11672 6220824  21372 15132108    0    0 41464  6346 21445 12964 14  2 65 19  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  3  11672 6054080  21520 15298944    0    0 31218 23914 18642 9775  9  1 76 14  0
 4  4  11672 5863928  21696 15489660    0    0 27906 28182 25032 17307  9  2 75 14  0
 5  8  11672 5640200  21904 15698012    0    0 30956 20242 29090 20899 11  2 63 23  0
 1  5  11672 5436992  22092 15900172    0    0 30594 20446 27949 20618  9  2 70 19  0
 6  6  11672 5199584  22304 16139416    0    0 42488  9682 24311 13122 13  2 61 23  0
 4  5  11672 5030568  22464 16308776    0    0 29750 17180 19627 11633  8  1 68 22  0
 2  6  11672 4795408  22692 16517132    0    0 45008 23880 20073 10411 14  2 63 21  0
 2  7  11672 4586696  22924 16725816    0    0 46778     0 15865 7298 16  1 56 27  0
10  7  11672 4346832  23160 16951940    0    0 51406  5830 15904 8108 18  1 55 26  0
 2  7  11672 4134392  23364 17165368    0    0 45208  4578 15547 8906 16  1 64 18  0
 6  3  11672 3919096  23588 17377980    0    0 50442 13010 13481 6873 18  2 63 17  0
 2  5  11672 3709520  23748 17568112    0    0 40404     0 13167 7113 16  2 67 15  0
 6  5  11672 3516672  23976 17762988    0    0 41216 19136 13693 7252 16  1 67 16  0
 4  2  11672 3285240  24204 17978296    0    0 45234 12190 16056 9809 17  2 61 20  0
 2  2  11672 3071712  24420 18192348    0    0 34856 13070 17702 11144 12  1 73 14  0
 2  8  11672 2864376  24608 18400132    0    0 33494 22780 16956 10037 13  2 71 13  0
 3  4  11672 2663904  24800 18602124    0    0 34934 22884 14853 9487 13  1 70 16  0
 3  4  11672 2503680  24952 18732528    0    0 26932 38470 9979 7042 10  1 76 13  0
 2  7  11672 2349880  25104 18886764    0    0 32726 18740 9013 7547 13  1 72 14  0
 3  4  11672 2189528  25256 19046392    0    0 36442 37822 9288 6676 13  1 73 13  0
 5  4  11672 2062584  25372 19160268    0    0 25754 30320 6973 4314 10  1 79 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3  11672 1899928  25524 19322424    0    0 37286 16328 10139 6556 13  1 73 13  0
 3  3  11672 1700312  25728 19522692    0    0 39876 26862 16685 11122 14  1 75 10  0
 2  7  11672 1492568  25940 19728312    0    0 33082 15564 17851 11874 15  2 74  9  0
 3  3  11672 1260016  26144 19923088    0    0 28040 28964 18236 11839 11  2 69 19  0
 3  2  11672 1104992  26304 20077384    0    0 26122 34214 13656 9695  8  1 72 18  0
 2  3  11672 907832  26484 20275320    0    0 34976 24726 15166 9577 15  1 69 15  0
 0  2  11672 757552  26632 20426196    0    0 28960 29914 10247 6878 10  1 76 13  0
 5  2  11672 686112  26684 20483316    0    0 12556 44176 5338 2874  5  0 77 18  0
 0  4  11672 628968  26732 20539468    0    0 13220 43878 4976 2508  5  0 82 13  0
 2  3  11672 523328  26844 20646860    0    0 21784 31082 7670 4820  8  1 73 18  0
 0  2  11672 447336  26916 20722936    0    0 17142 36128 5695 3236  7  1 77 15  0
 2  2  11672 372248  26992 20798056    0    0 18194 39740 6731 3249  6  0 80 14  0
 0  2  11672 281056  27080 20889472    0    0 21784 32054 7376 3230  8  0 80 12  0
 0  2  11672 208552  27144 20961248    0    0 16146 38130 6404 2855  6  1 81 12  0
 1  2  11672 142432  26908 21018456    0    0 15632 56902 7074 3367  6  0 82 12  0
 5  5  11672 136984  26916 21024020    0    0 30162 26314 12500 5488 11  1 70 18  0
 2  3  11672 150344  26996 21011676    0    0 20764 38672 6815 2979  7  1 72 20  0
 3  4  11672 148360  27128 21012212    0    0 27962 31890 9147 5201  9  1 77 12  0
 3  2  11672 146536  27236 21002752    0    0 28036 25006 9213 5435 11  1 82  7  0
 2  3  11672 142888  27364 21007532    0    0 29092 30644 8456 5149 10  1 80  9  0
 0  6  11672 148512  27452 21003140    0    0  6566 36102 12162 8647  3  1 84 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4  11672 146840  27536 21004052    0    0  2076 59276 15583 11294  1  1 71 27  0
 0  3  11672 146192  27640 21005608    0    0 10472 51664 11832 8600  2  1 77 20  0
 0  2  11672 149544  27720 21002828    0    0  4108 51560 11373 9172  2  1 88 10  0
 0  3  11672 144848  27776 21005380    0    0  4366 58078 6594 4947  1  0 72 26  0
 0  2  11672 142720  27824 21009448    0    0  3844 70074 4876 3374  2  1 79 18  0
 0  4  11672 149080  27872 21002908    0    0  4640 32098 4726 2977  2  0 76 22  0
 1  3  11672 145312  27904 21006516    0    0  6916 75982 3901 2045  2  0 86 12  0
 0  2  11672 145464  27920 21006628    0    0  3690 64030 2749 1563  1  0 90  9  0
 1  2  11672 145464  27944 21006412    0    0  3848 57146 3078 1749  1  0 88 11  0
 0  2  11672 143032  27952 21008624    0    0  3328 53626 2536 1502  1  0 91  8  0
 0  2  11672 145912  27988 21004956    0    0  2822 64310 3713 2256  1  0 89 10  0
 0  4  11672 147592  28008 21004388    0    0  2976 61908 2498 1315  1  0 89 10  0
 0  2  11672 214944  28040 20937256    0    0  5360 55914 4840 2359  2  1 85 12  0
 1  2  11672 195328  28060 20957800    0    0  2816 64912 4312 2423  1  0 90  9  0
 1  2  11672 149616  28148 21002324    0    0 13338 29258 9352 5817  4  1 77 19  0
 3  2  11672 147632  28204 21001772    0    0 23188 47284 11856 6554 11  1 78 11  0
 5  3  11672 142760  28276 21006352    0    0 33702 26554 12694 6232 12  1 74 13  0
 3  2  11672 145656  28316 21004024    0    0 40230 19626 10846 6081 14  2 72 13  0
 2  4  11672 146120  28344 20975196    0    0 33346 26600 12411 7101 13  1 66 20  0
 3  2  11672 142304  28364 20980160    0    0 40212 18554 13900 8760 14  1 65 20  0
 4  2  11672 142912  28432 20979020    0    0 38830 20880 12016 8727 14  1 64 20  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3  11672 145352  28456 20957752    0    0 38308 24448 11922 9866 18  1 60 21  0
 3  3  11672 147024  28620 20955092    0    0 39972 21974 11778 9189 14  1 66 19  0
 0  5  11672 145520  28768 20956352    0    0 34902 26010 9660 5542 14  1 66 18  0
 1  4  11672 143536  28892 20935396    0    0 33524 27318 8247 4521 12  1 70 16  0
 6  4  11672 143512  29068 20934632    0    0 35248 18786 8803 4707 12  1 63 24  0
